No.	Phrase	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
1192	很不舒服	2.688	5.333	0.556	0.471
1620	可能比較麻煩	3.750	5.188	0.354	0.747
1176	好沒尊嚴	3.000	5.543	0.294	0.475
1658	本來蠻想	4.563	4.143	0.39	0.639
467	老喜歡	6.300	6.250	0.872	0.692
271	挺帥	6.875	6.111	0.545	0.614
718	較為適當	5.875	4.511	0.327	0.348
434	越清楚	6.000	4.571	0.0	0.728
836	更為嚴重	2.400	8.000	0.49	0.0
2086	不能太強	5.071	4.938	0.319	0.3
394	較強	6.500	5.857	0.5	0.35
968	較不冷	5.071	4.429	0.319	0.678
1113	更沒救	3.000	6.000	0.0	1.0
1789	可能不想	4.500	3.333	0.5	0.471
879	愈髒	2.675	5.286	0.538	0.452
1741	應該沒有好	4.000	4.375	0.0	0.484
908	完全不同意	2.600	6.833	0.49	0.687
339	更恐怖	2.000	7.400	0.0	0.49
475	超級喜歡	8.389	7.688	0.515	0.428
452	很累	2.500	5.600	0.5	0.49
876	蠻爛	2.278	6.090	0.416	0.856
1921	不能亂	4.833	5.083	0.256	0.837
636	超滿意	8.333	6.950	0.527	0.789
635	蠻滿意	7.433	6.278	0.457	0.454
2199	不能很確定	4.778	4.500	0.533	0.433
1181	超沒尊嚴	2.643	7.056	0.44	0.598
400	特別強烈	4.929	8.222	0.776	0.583
1878	沒有受傷	5.300	5.288	0.525	0.451
992	還不能批評	4.100	5.900	0.374	0.663
220	愈佳	6.944	5.450	0.142	0.557
1173	極度不尊重	2.000	7.125	0.0	0.781
468	更喜歡	8.000	6.500	0.0	0.5
2120	沒特別喜愛	4.511	4.150	0.726	0.843
343	超級恐怖	2.050	7.567	0.087	0.368
1488	可能贏得	6.556	6.313	0.437	0.428
685	最為熱烈	7.375	8.056	0.415	0.724
1616	可能比較累	3.611	4.444	0.567	0.643
494	最為棘手	2.125	7.375	0.217	0.415
489	更棒	7.000	6.400	0.0	0.49
1747	本來不希望	4.429	5.250	0.495	0.433
1314	較不適合	4.000	4.833	0.0	0.687
1384	本來支持	5.244	4.350	0.882	0.456
882	異常驚人	4.567	7.975	0.529	0.066
682	較樂觀	6.500	5.563	0.577	0.583
310	蠻值得	6.510	5.871	0.391	0.175
801	極其謹慎	6.889	6.160	0.314	1.078
111	特別好	7.556	6.375	0.497	0.484
2168	沒比較慘	4.171	4.411	0.767	0.401
1880	不能忽視	5.250	4.750	0.479	0.707
696	愈窮	2.778	5.278	0.533	0.916
1825	也許沒錯	5.300	4.222	0.9	0.629
778	更為艱困	2.267	7.650	0.231	0.158
1195	超不舒服	2.375	6.714	0.484	0.452
1040	完全不信任	2.750	6.125	0.433	0.927
1696	應該挺適合	6.375	4.333	0.415	0.687
208	極度扭曲	2.400	6.600	0.33	0.35
322	超差	2.000	6.444	0.0	0.497
275	超級後悔	1.333	7.083	0.471	0.672
714	蠻適合	5.600	4.000	0.49	0.0
472	特別喜歡	8.333	7.333	0.471	0.471
1552	本來還怕	4.420	6.157	0.739	0.555
1664	應該還想	5.444	5.000	0.437	0.707
553	完全想	5.800	5.120	0.245	0.676
649	更加緊張	2.889	7.563	0.657	0.527
1186	十分不舒服	2.750	5.938	0.512	0.726
1309	更不適合	3.167	5.125	0.577	0.927
1262	還不能解決	3.667	4.625	0.471	0.484
1305	太不適合	3.000	5.889	0.0	0.875
810	極為豐富	8.111	6.713	0.328	0.298
152	更為有利	6.625	6.700	0.249	0.235
2003	沒比較好	4.063	4.875	0.3	0.65
643	更加精彩	8.144	7.800	0.499	0.499
804	較為謹慎	6.975	3.990	0.211	1.036
1180	最沒尊嚴	3.211	6.371	0.428	0.56
2130	不太舒服	3.510	4.200	0.448	0.954
1376	稍微不爛	4.275	4.525	0.552	0.466
187	超級冷	2.513	4.056	0.398	0.986
1915	沒殺	5.200	5.500	0.678	1.0
499	極其無能	2.156	7.211	0.324	0.335
427	更清楚	6.000	4.222	0.0	0.416
1438	也許喜歡	6.075	4.613	0.198	0.525
1556	可能有點怪	3.530	4.688	0.473	0.499
1551	本來很怕	4.200	5.833	0.678	0.882
841	最嚴重	1.625	8.000	0.484	0.0
