No.	Phrase	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
116	稍微好	6.611	5.925	0.601	0.334
900	還不能打	4.086	5.667	0.785	0.687
2154	不能完全禁止	4.143	5.389	0.789	0.936
2135	不好想	4.313	3.750	0.496	0.829
1135	稍微不爽	4.000	5.188	0.0	0.609
1466	也許認真	5.900	4.333	0.321	0.373
919	非常不好	2.333	7.000	0.471	0.775
371	非常高興	8.000	8.000	0.0	0.0
1904	不能原諒	3.000	5.800	0.267	0.4
1453	本來想	4.600	3.500	0.42	0.521
2057	不特別挑剔	5.222	5.057	0.583	0.14
1046	非常不恰當	2.556	6.125	0.497	0.781
1346	完全沒壓力	6.714	5.417	0.452	0.837
638	挺漂亮	7.438	6.275	0.39	0.268
878	越髒	2.389	5.667	0.567	0.408
1623	可能比較喜歡	6.356	5.000	0.504	0.816
1347	完全沒有壓力	6.000	6.000	0.756	1.323
378	格外堅強	7.144	6.822	0.211	0.397
1303	更沒有衝突	4.720	5.338	0.392	0.472
2029	沒有更自由	3.750	5.929	0.829	0.821
1230	還不想	4.550	4.000	0.472	0.707
2187	沒很漂亮	4.429	4.875	0.623	0.781
1970	不騙	5.944	4.875	0.685	0.599
683	較為樂觀	7.222	4.786	0.592	0.508
770	極為尷尬	2.957	5.314	0.199	0.61
544	越亂	2.517	6.756	0.069	0.241
2013	沒更好	4.688	5.125	0.556	0.893
1292	非常不樂觀	2.667	6.625	0.471	1.111
1264	還沒有解決	4.000	5.000	0.0	0.0
82	很正	7.000	6.000	0.0	0.0
1704	應該還輸	3.786	4.938	0.589	0.808
1104	很不高興	2.444	6.944	0.497	0.685
932	完全沒好處	3.111	6.250	0.314	0.829
634	超級滿意	7.975	6.925	0.259	0.538
398	尤其強烈	3.713	8.225	0.513	0.547
1631	應該最喜歡	7.625	6.056	0.331	0.724
1961	沒有錯	5.889	5.389	0.698	0.698
1984	不特別出色	4.563	4.500	0.634	0.333
2050	不能完全信任	3.689	5.889	0.854	0.774
109	相當好	7.400	6.000	0.49	0.0
1809	應該沒違規	5.222	3.875	0.629	0.331
1165	太不尊重	2.444	7.000	0.497	0.535
1849	沒有打	5.313	4.250	0.609	0.354
807	更為豐富	7.388	6.129	0.369	0.225
1705	可能略輸	3.944	3.810	0.427	0.556
858	更加嚴格	3.500	7.563	0.378	0.3
1075	更不能原諒	3.444	5.875	0.497	0.599
1793	本來沒想	4.938	4.667	0.165	0.373
1958	不能輸	5.533	5.811	0.452	0.468
1843	沒有八卦	4.944	4.000	0.724	0.267
312	愈害怕	2.678	6.200	0.516	0.543
1420	可能放棄	3.550	5.000	0.415	0.25
26	最為不滿	2.450	7.138	0.436	0.239
488	太棒	7.444	6.625	0.497	0.484
237	超怕	2.556	7.444	0.497	0.497
1119	超不清楚	3.375	6.000	0.484	0.926
1715	可能很嚴重	2.444	6.900	0.369	0.831
453	超級累	2.689	5.457	0.479	0.238
513	超級痛	1.556	8.000	0.55	0.624
1000	更不能忽略	5.611	5.071	0.458	0.175
2197	不很確定	4.656	4.763	0.501	0.495
1241	更沒愛	3.250	5.500	0.5	1.195
830	還願意	5.571	5.338	0.416	0.485
1913	不能控制	4.929	5.643	0.863	0.44
1013	更不能放棄	6.000	6.556	1.155	0.685
72	非常失望	2.000	7.000	0.0	0.0
1997	不更好	4.750	5.750	0.829	0.804
1742	應該沒有安全	4.029	3.978	0.07	0.791
1132	相當不爽	2.667	7.000	0.471	0.0
1413	應該協助	5.888	4.500	0.344	0.583
236	最怕	2.100	7.600	0.831	0.49
1114	很沒救	2.957	6.960	0.742	0.049
621	愈慘	2.122	5.925	0.282	0.412
1367	完全不願意	3.071	6.875	0.175	0.599
1949	沒有確定	4.389	4.875	0.515	0.484
403	越發強烈	4.729	8.314	0.357	0.223
543	稍亂	4.188	4.750	0.242	0.612
267	最帥	7.467	5.733	0.435	0.57
1922	不幹	4.500	6.200	0.5	0.98
1568	可能有點風險	4.111	5.629	0.328	0.721
1586	應該超討厭	2.375	7.000	0.415	0.316
1548	應該非常足夠	6.400	5.075	0.462	0.888
1855	沒有好處	3.400	5.125	0.397	0.415
786	更為艱難	2.433	7.550	0.337	0.374
1865	沒有死刑	5.000	5.100	0.0	1.02
1570	可能最值得	6.813	6.438	0.704	0.768
1236	太沒有愛	2.625	6.556	0.484	0.497
947	還沒有成功	4.000	4.929	0.0	0.175
747	極其諷刺	2.050	7.413	0.132	0.42
1187	太不舒服	2.750	6.111	0.512	0.737
1323	更沒有積極	4.544	4.725	0.44	0.655
358	很臭	2.625	5.667	0.484	0.667
2121	不太喜歡	3.778	5.000	0.583	0.5
2066	沒太差	4.778	3.938	0.583	0.3
2049	不完全信任	3.975	4.675	0.622	0.538
288	異常珍貴	8.233	6.638	0.309	0.223
1293	相當不樂觀	2.556	6.056	0.497	0.762
1935	沒有遇到	4.929	4.500	0.175	0.577
1071	超級不值得	2.750	6.778	0.433	0.916
253	稍微放鬆	5.622	2.722	0.385	1.039
985	還不能忘記	5.000	4.429	0.0	0.495
2191	沒很認真	4.450	4.550	0.51	0.507
1807	應該不違法	5.333	5.143	0.816	0.639
231	完全忽視	2.500	5.556	0.5	0.497
1727	應該沒有八卦	4.944	4.250	0.55	0.433
942	超級不安全	2.000	6.857	0.667	0.833
880	尤其驚人	3.586	8.380	0.264	0.328
525	更加舒適	7.322	3.675	0.561	0.521
1604	應該更清楚	5.625	4.056	0.545	0.685
1713	可能比較嚴重	3.433	5.963	0.573	0.64
1249	越不愛	2.875	5.938	0.415	0.583
1535	應該蠻有趣	6.900	5.600	0.371	0.424
175	太自由	6.000	6.071	0.949	0.821
1073	越不值錢	4.000	5.500	0.0	1.025
1108	還不能控制	3.643	5.167	0.44	0.782
1884	不能放棄	5.688	6.500	0.496	0.408
1732	應該不能打	5.000	4.875	0.267	0.545
2046	不很怪	4.643	4.000	0.58	0.289
164	非常有趣	8.000	7.000	0.0	0.0
284	格外珍惜	8.125	6.260	0.238	0.377
1499	本來很正	5.214	4.938	0.589	0.726
2010	沒有特別好	4.129	5.038	0.205	0.579
528	較為舒適	6.778	4.000	0.583	0.289
743	特別興奮	7.590	7.925	0.421	0.139
1770	應該不差	5.389	3.944	0.567	0.762
792	好醜	2.667	4.625	0.471	0.484
142	稍微安全	6.413	4.367	0.344	0.6
1058	更沒有負擔	5.700	5.288	0.756	0.537
138	比較安全	6.444	4.375	0.497	0.484
740	非常興奮	8.000	8.000	0.0	0.0
2233	不好騙	4.683	5.363	0.72	0.524
1378	更不能犧牲	5.271	6.571	0.828	0.562
1410	應該把握	5.550	4.840	0.463	0.917
667	稍微輕鬆	5.667	2.300	0.481	0.624
1408	可能忘記	4.556	4.438	0.283	0.464
1805	可能沒遇到	5.000	3.625	0.0	0.484
