No.	Phrase	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
1632	應該蠻喜歡	6.822	6.122	0.418	0.721
969	完全沒利益	3.500	6.438	0.535	0.634
1193	相當不舒服	2.556	5.889	0.497	0.875
950	還不能死	3.500	6.000	0.632	0.577
1651	可能很想	5.075	5.000	0.139	0.707
1317	較不適宜	4.000	4.500	0.0	0.471
399	更為強烈	4.871	8.411	0.205	0.375
632	非常滿意	8.000	7.000	0.0	0.0
604	還遇到	5.188	5.417	0.348	0.449
857	更嚴格	2.800	7.711	0.24	0.269
633	相當滿意	8.000	6.556	0.0	0.497
462	尤其喜愛	7.263	6.925	0.223	0.198
552	好想	5.667	4.375	0.471	0.484
1127	老不爽	2.500	7.188	0.577	0.864
1810	應該沒有違規	4.875	4.111	0.781	0.737
2228	不能太醜	4.167	5.000	0.527	0.75
2037	沒有比較快樂	4.125	5.143	0.599	0.789
1945	不能輕忽	4.938	5.688	0.768	0.556
9	最為不利	2.500	6.643	0.866	0.639
45	更為可怕	2.470	7.188	0.478	0.242
1625	可能較喜歡	6.011	5.375	0.716	0.441
139	更安全	7.000	4.778	0.0	0.416
1876	沒決定	4.333	5.900	0.527	0.49
390	稍微強	5.938	4.763	0.39	0.495
380	無比堅強	7.378	6.625	0.308	0.526
536	無比開心	8.333	7.722	0.408	0.478
225	有點奇怪	4.000	5.375	0.0	0.484
404	極其強烈	4.688	8.725	0.428	0.233
163	更為有趣	7.300	6.000	0.33	0.0
2224	沒比較聰明	4.000	4.286	0.75	0.364
677	超噁心	1.600	7.500	0.49	0.5
328	太弱	2.778	5.667	0.416	0.471
1564	應該超後悔	2.570	6.714	0.473	0.587
2043	不很奇怪	5.071	5.500	0.678	1.09
1444	也許最好	6.357	6.178	0.639	0.585
1602	應該最清楚	5.913	5.163	0.169	0.678
1512	應該比較好	6.600	5.289	0.397	0.619
290	無比珍貴	7.913	6.633	0.215	0.442
94	老白痴	2.413	7.000	0.401	0.843
1783	可能不喜歡	4.000	5.071	0.0	0.678
50	還可怕	2.750	7.188	0.433	0.496
817	十分關心	7.500	7.556	0.354	0.55
1151	比較不喜歡	4.000	4.000	0.0	0.667
300	格外重大	3.567	8.044	0.346	0.34
73	相當失望	2.000	7.000	0.0	0.0
110	挺好	6.925	5.656	0.356	0.483
382	太強	7.500	6.556	0.5	0.497
