No.	Word	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
2739	殖民地	4.200	3.200	0.75	0.98
1972	樂於	6.400	4.600	0.49	1.36
3371	未加	4.400	3.000	0.374	1.095
4775	繚亂	3.500	4.200	0.935	1.681
14	不耐煩	3.600	6.000	0.8	1.095
3452	慇勤	6.300	5.600	0.6	1.53
437	妨害	2.600	6.200	1.02	0.748
3007	溫文	5.700	2.100	0.6	0.8
1585	贏取	6.400	6.000	0.49	1.549
2553	行賄	2.800	6.400	0.4	1.02
630	威脅	3.000	7.400	0.632	0.49
3690	清醒	6.200	3.700	1.095	1.396
4167	幽暗	3.300	3.200	1.204	1.304
685	約束	4.600	4.600	0.49	1.356
4389	刺耳	2.600	6.900	1.084	1.245
4377	秀氣	6.800	3.700	0.57	1.525
3086	火爆	3.100	7.900	0.663	0.917
2402	不予	4.200	3.400	0.75	1.36
4868	不近人情	3.800	4.500	0.758	2.669
1037	悲歡	4.800	5.400	0.4	1.744
538	怕生	4.000	5.200	0.0	0.748
3564	從善如流	6.600	6.000	1.14	1.173
2018	安然	5.800	3.000	0.4	1.1
3510	儒雅	5.900	2.800	0.2	0.748
4550	阻攔	3.700	4.500	0.975	1.658
1526	艱辛	3.000	6.400	0.894	0.49
391	百感交集	3.400	7.200	1.02	0.98
2931	遊蕩	4.300	2.900	0.4	0.49
315	打倒	3.400	6.600	0.49	1.02
5294	鬧大	3.800	7.300	0.57	0.975
5415	令人驚羨	5.400	4.700	1.084	1.565
5363	左右為難	4.200	4.400	0.57	1.71
4784	摔倒	4.400	4.800	0.894	1.643
2824	苦難	3.000	4.600	0.632	1.02
1188	極端	4.400	7.000	0.8	1.095
871	得意	5.800	5.400	0.98	1.356
683	盼望	6.200	5.400	1.327	1.855
3811	斷斷續續	3.700	3.800	0.758	1.44
1210	煩惱	3.000	6.200	0.632	1.166
1443	操心	3.800	5.600	0.4	1.356
3097	困惑	4.200	4.800	0.4	1.166
2706	切斷	4.200	5.000	0.75	0.63
5312	扯破	3.900	4.200	0.224	1.351
3746	嚇人	2.300	6.600	0.908	1.387
810	臭氣	3.600	5.400	0.49	1.855
1459	瘸	3.400	3.600	0.49	1.2
3146	敬陪末座	3.500	4.900	0.894	0.2
4905	貪財	3.800	3.900	0.758	1.817
1109	絕望	2.200	6.000	0.98	2.0
615	咬牙切齒	2.200	8.200	0.748	0.4
4311	出頭	6.000	6.300	0.866	1.151
5256	狡滑	2.800	5.000	0.758	1.369
261	反派	3.200	5.000	0.4	1.673
2455	不顧	3.800	4.400	0.75	0.8
1481	遲鈍	3.600	3.600	0.49	1.2
3960	驚為天人	8.300	8.500	0.447	0.5
1007	喪偶	2.600	6.200	1.02	1.166
533	忠誠	7.200	5.800	1.166	1.47
2209	老實	6.200	3.600	0.4	1.02
3307	瓜分	4.100	4.600	0.374	1.881
2101	熟練	5.800	3.400	0.4	1.02
1222	罪大惡極	1.400	8.800	0.49	0.4
1795	清理	4.800	4.200	0.4	1.17
310	平和	7.000	2.800	0.632	1.72
3349	作祟	3.900	3.700	0.663	1.536
3883	超越	6.500	6.700	0.707	0.671
4332	光明正大	7.000	5.000	1.275	1.369
4022	閃耀	7.600	7.400	0.548	1.14
2318	暫停	4.800	3.400	0.4	1.5
4191	生龍活虎	7.400	8.000	0.962	0.707
5485	圓滑	6.400	3.400	0.822	0.894
629	哈哈	6.600	6.000	1.356	0.894
2064	致富	6.400	4.800	0.49	0.98
4539	臭臉	3.300	5.800	0.671	0.837
5037	漂泊	4.700	3.400	0.837	1.817
4055	大勝	9.000	8.900	0.447	0.224
3281	雅致	6.200	4.900	0.927	0.917
2343	搜索	4.400	4.800	0.8	0.75
3704	飽和	5.400	3.200	1.14	1.44
2519	乾旱	3.200	4.600	0.75	1.85
3184	聖人	7.400	4.500	1.2	1.342
3767	嘔心瀝血	7.400	6.100	0.962	1.432
3694	萬眾矚目	8.700	7.600	0.447	1.14
2768	洩漏	3.600	4.400	0.49	1.2
89	遊戲	5.800	4.800	1.166	1.72
74	討厭	2.600	6.600	0.49	0.49
4460	打退	5.500	6.900	1.265	0.663
3612	落單	3.000	5.000	1.0	1.0
1066	欺	3.200	6.200	0.98	0.748
1664	特別	5.800	4.200	0.98	0.98
77	喜愛	7.200	6.200	0.4	0.98
