No.	Word	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
3876	看不過去	2.700	5.400	1.095	1.342
904	混帳	1.600	8.000	0.49	0.632
3006	快活	6.400	5.200	0.49	1.327
769	狹小	3.800	4.000	0.4	1.673
1788	黃金	5.600	3.200	0.8	1.94
2873	趕出	3.900	5.300	1.02	1.778
4512	無可奈何	3.900	3.700	0.548	1.204
1026	悲悽	2.200	4.800	0.748	1.939
2185	睿智	6.400	3.800	0.8	1.17
2100	流暢	6.000	3.600	0.0	1.02
4165	天差地遠	3.500	5.300	0.707	1.204
2078	征服	5.200	5.600	0.4	1.36
4419	率直地	6.000	3.600	0.632	0.735
3991	大名鼎鼎	7.800	7.300	1.095	0.837
282	毛骨悚然	2.200	8.000	1.166	0.894
2790	背信	3.200	6.200	0.75	0.75
2423	致使	4.600	4.400	0.49	0.8
1528	艱深	3.400	6.400	0.8	1.02
1311	誤解	3.400	5.600	0.49	1.855
2240	降低	4.800	3.600	0.4	1.2
2412	破產	3.000	5.600	0.63	1.5
2351	黑道	3.400	5.200	0.49	0.98
828	迷惑	3.400	4.600	0.49	1.02
763	氣憤	2.400	7.000	0.49	0.632
343	光榮	6.800	6.200	0.4	1.166
2994	富於	6.100	4.500	0.49	1.483
1228	罪孽	2.000	7.600	0.632	0.49
2941	下獄	3.000	5.200	0.632	1.6
4329	兇狠	2.200	8.200	1.095	0.908
1259	頑強	5.000	6.200	1.095	0.748
139	交往	6.400	5.200	0.49	1.72
5310	亡羊補牢	5.200	4.400	1.151	1.294
4821	銷聲匿跡	4.100	2.000	0.742	0.707
2005	毅力	6.000	4.200	0.63	1.47
3438	端莊	6.000	3.300	0.548	1.327
4527	枯槁	2.800	3.900	0.57	1.025
5295	德政	7.300	4.900	0.671	1.597
1978	非凡	6.200	4.000	0.75	1.26
3687	無言	3.200	4.200	1.037	1.304
2558	戰場	3.400	5.600	0.8	1.62
4901	胡鬧	3.500	6.600	0.935	1.14
271	心灰意冷	2.800	3.600	0.4	1.744
5449	妖艷	5.800	5.500	1.681	1.225
105	王八蛋	1.400	8.600	0.49	0.49
4513	自掃門前雪	3.200	4.400	0.837	1.557
218	ㄏㄏ	5.800	4.600	0.4	1.625
3774	遙不可及	3.700	4.600	0.975	1.557
2634	撞擊	3.600	6.200	0.49	0.98
4230	不錯	6.300	4.400	0.49	0.98
4520	故態復萌	3.400	4.300	0.822	1.483
3341	虛假	3.000	4.200	0.707	1.435
558	放鬆	6.200	2.000	0.748	0.894
4418	逃掉	3.200	5.400	0.812	1.068
5477	清純	5.800	3.900	0.447	1.194
274	心情	5.000	3.600	0.0	1.744
1606	歡樂	7.200	6.800	0.748	0.98
2857	蠻橫	3.300	5.800	1.077	1.122
4711	賣弄	4.200	4.000	0.274	1.369
2174	新奇	5.800	4.200	0.4	1.47
1447	擔憂	3.600	4.800	0.49	1.166
3943	舉足輕重	6.200	5.700	1.304	1.204
4587	天打雷霹	2.100	8.100	1.14	1.342
1208	煩勞	3.200	5.800	0.4	1.6
2472	傳染病	3.400	4.400	0.49	1.36
4660	輕佻	3.400	3.000	0.548	1.225
4274	耗電	3.500	3.800	0.548	1.225
5200	陷落	3.600	5.100	0.652	1.746
2502	致死	2.200	6.200	0.4	1.17
3415	無敵	8.100	6.800	0.49	1.435
1187	極好	7.800	7.800	0.748	0.98
4163	不像話	2.400	5.800	0.962	0.837
1040	悶悶不樂	3.600	4.000	0.49	0.894
3931	無法自拔	3.900	6.500	1.194	1.5
1359	憐惜	4.600	4.800	1.2	0.98
5427	割裂	4.000	4.000	0.612	0.707
5433	透亮	7.200	4.700	0.975	1.304
2494	壟斷	3.400	5.000	0.49	0.63
1172	愧	3.400	6.200	0.49	0.748
4103	忠心耿耿	7.700	4.300	0.975	1.095
1247	遇難	2.000	6.400	0.894	2.577
2072	創造力	6.400	4.400	0.49	1.02
2110	白金	5.400	2.800	0.49	1.33
4967	吵吵鬧鬧	3.500	7.200	1.0	1.483
3001	哲人	5.700	2.600	0.748	1.02
2508	減低	4.400	3.200	0.8	0.98
4138	事倍功半	3.400	5.100	1.084	1.342
2819	沈默	4.700	2.200	0.4	1.47
1764	期待	6.200	5.600	0.4	1.02
5428	頑皮	4.800	3.300	0.274	1.396
3703	道道地地	6.600	2.700	1.084	1.483
3550	得不償失	2.400	7.300	0.894	1.304
2295	糾紛	3.400	4.600	0.49	1.2
3722	精闢	7.000	5.300	0.354	1.565
4474	淒慘	1.700	6.100	0.447	1.245
5173	煞風景	3.500	3.600	1.0	1.949
2449	燃燒	4.400	4.000	0.8	1.41
5174	豬母	3.100	4.100	1.673	1.673
447	屁眼	1.800	5.600	1.166	1.356
5443	白皙	7.100	4.200	0.822	1.483
3588	絢爛奪目	7.200	7.100	1.095	1.194
1198	溫和	6.000	3.600	0.0	1.356
1736	掌握	5.200	4.200	0.4	1.47
4558	惴惴不安	3.100	7.100	0.742	0.894
3288	魔鬼	2.000	6.300	0.707	1.887
5192	亂說	3.600	4.200	1.084	1.304
1281	滿意	7.200	5.600	0.748	1.02
4362	吵雜	3.500	7.600	0.707	1.294
5088	踉蹌	4.000	5.000	1.173	2.345
354	好笑	6.200	6.400	0.748	0.8
1294	禍	3.200	6.000	0.98	1.414
3083	陰雨	4.100	2.400	0.374	1.02
4340	回天乏術	1.600	6.600	0.822	0.822
