No.	Word	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
2194	孝行	6.600	3.400	0.49	1.5
1257	違規	3.400	5.200	0.8	1.327
3705	鼎鼎大名	7.800	6.800	0.837	1.351
1688	提高	5.800	5.000	0.4	1.26
45	想	5.200	3.600	0.4	1.497
5305	甩不掉	4.700	3.200	0.447	1.681
5324	挾怨報復	3.000	4.900	0.612	1.597
3650	硬著頭皮	3.100	5.200	0.894	1.643
2516	揭露	4.000	5.200	0.63	1.17
413	低落	3.800	3.000	0.4	1.414
1117	虛榮	3.000	6.200	0.632	1.327
180	說服	5.000	4.200	0.632	1.47
4549	凹下	4.100	3.600	0.742	1.475
104	下流	2.200	7.600	0.748	1.2
4157	平順	6.400	2.100	1.14	0.894
3919	耗盡	3.700	5.700	1.037	1.483
1277	榮幸	6.800	5.400	0.4	1.356
3814	雜七雜八	2.700	5.200	1.037	1.304
2582	燒燬	3.200	5.800	0.4	0.75
2908	難看	3.400	3.600	0.8	1.463
99	懷念	6.000	5.600	0.632	1.356
2776	出賣	3.000	4.800	0.63	1.47
4470	假扮	3.800	4.400	0.4	1.02
2671	誤差	4.000	3.600	0.0	1.2
2620	昏迷	3.000	5.000	0.63	1.9
4669	瘟疫	2.200	5.100	1.304	1.673
4202	行雲流水	7.400	5.400	0.418	1.14
2957	奮起	6.400	5.800	0.583	0.98
4799	懇摯	6.600	4.100	0.894	1.817
1612	攪亂	3.000	6.600	0.894	1.02
2321	困境	3.600	3.600	0.49	1.02
3040	償清	5.500	3.200	0.447	0.927
2901	逼使	3.500	6.000	1.265	0.949
2315	遭遇	4.000	4.800	0.63	0.98
2520	缺席	3.800	4.600	0.4	0.8
2838	堵塞	4.000	4.100	0.0	0.8
498	刻薄	2.800	6.600	0.748	1.02
4435	沒趣	3.400	5.200	0.8	0.98
3024	慈悲為懷	6.200	2.700	0.51	0.98
4164	南轅北轍	3.500	5.300	0.707	1.204
5202	色慾	3.900	6.100	0.224	1.025
5385	惹毛	3.700	5.000	0.57	1.275
1734	支援	5.600	4.200	0.49	0.98
1875	輔助	5.200	3.600	0.4	1.85
1979	奇異	5.200	4.400	0.75	1.85
1377	樂此	6.400	5.000	0.49	1.789
1020	尊嚴	6.200	5.200	0.98	1.6
5244	剽竊	2.900	5.000	0.742	1.225
1133	亂	3.600	5.800	0.49	0.98
270	引誘	3.800	6.400	0.748	1.02
3257	有說有笑	6.800	6.500	1.435	0.894
4317	四平八穩	6.000	2.800	0.791	1.681
4531	打高空	4.500	3.400	0.5	1.342
3130	計較	3.800	6.100	0.4	0.663
76	逃避	3.000	6.000	0.0	0.632
2826	勸告	4.900	4.200	1.114	0.748
1636	體面	6.400	5.400	0.49	0.8
3277	豐腴	6.500	4.500	0.894	1.0
4049	相見恨晚	6.300	6.500	0.671	1.414
2743	下手	3.400	4.800	0.49	0.75
3232	互愛	7.000	6.200	0.894	0.98
5273	逞威	3.800	5.400	0.447	1.14
3140	責怪	3.500	6.600	0.447	0.8
4258	值回票價	8.200	6.900	0.447	0.8
1767	表揚	6.000	4.600	0.63	1.74
5104	唯利是圖	3.100	3.000	0.548	1.0
2267	不可	4.000	4.200	0.63	1.17
4802	安安穩穩	6.000	2.600	0.632	1.625
5430	孩子氣	4.500	3.400	0.354	1.557
4424	悶著	3.800	4.000	0.4	1.265
4304	心不甘情不願	2.900	5.900	0.894	1.746
4985	狗眼看人低	2.500	4.200	1.118	2.28
4617	慘絕人寰	1.000	8.400	0.0	0.548
1016	尊重	6.800	5.200	0.748	1.327
1154	嗚咽	2.600	5.600	0.8	1.855
2214	涼爽	6.000	4.000	0.0	2.0
5370	大鬧	2.900	5.300	1.025	0.837
2503	太過	4.000	5.200	0.63	0.98
1535	謝天謝地	7.400	7.400	0.49	0.8
4694	做錯事	3.700	5.000	0.671	1.768
1915	道理	5.200	3.200	0.4	1.17
5451	明亮動人	7.300	6.200	0.57	1.204
1364	撒謊	3.200	5.200	0.4	0.748
4801	諸事順心	6.700	7.600	0.577	1.155
4254	合身	5.900	3.600	0.577	1.155
4242	物超所值	8.400	7.200	0.577	1.155
4315	叫好	7.400	7.600	1.194	0.418
4498	狗嘴吐不出象牙	2.900	5.200	0.652	0.837
1854	推進	5.200	4.800	0.4	1.72
1118	虛榮心	3.000	6.000	0.632	1.095
4521	尋仇	2.900	7.600	0.742	0.548
662	柔	5.200	3.000	0.4	1.673
962	貪汙	1.800	7.600	0.748	1.497
4960	不得要領	3.700	3.900	0.57	1.432
1427	震顫	3.200	7.400	0.748	0.8
2058	盡情	5.800	4.800	0.4	1.33
1032	悲慘	2.200	7.000	0.4	1.095
2213	群策群力	6.200	4.000	0.4	1.41
3944	難懂	3.400	4.000	0.652	1.414
1554	壞話	3.400	5.000	0.49	1.414
1246	躲避	3.600	4.800	0.49	1.6
3677	萬幸	7.000	5.800	0.791	1.304
1672	正式	5.400	4.200	0.49	0.75
3606	新穎	6.600	5.900	1.084	0.894
1730	得到	5.600	4.000	0.49	1.1
2253	有意	4.600	4.400	0.8	1.36
5044	惹到	3.200	5.100	1.304	2.51
3988	昏暗	3.700	3.100	1.204	1.517
91	適合	5.600	3.800	1.02	1.47
2145	分工合作	6.200	4.600	0.75	1.5
2081	善於	6.000	4.000	0.63	1.1
1297	精心	6.200	4.600	0.748	1.855
1099	痛哭流涕	1.800	8.000	0.748	0.632
2750	共謀	3.800	5.200	0.4	0.75
4661	心寒	2.800	2.600	1.095	1.342
3220	莊重	6.600	4.700	0.49	0.748
3947	霸道	3.000	7.300	1.275	1.565
2002	自立	5.800	4.200	0.4	0.98
500	卑鄙	1.800	8.200	0.748	0.748
5113	污濁	2.800	2.600	0.447	0.894
3858	流失	3.200	4.800	0.57	1.304
1466	興奮	7.400	7.200	0.49	0.4
1151	傻子	3.600	4.200	0.49	0.98
5476	淨白滑嫩	7.600	4.500	0.652	1.414
1587	騷動	4.000	6.600	0.632	1.02
1939	嶄新	6.400	5.000	0.49	1.55
4102	水火不容	2.600	7.900	1.084	1.14
4349	收斂	4.900	3.000	0.418	0.791
2972	攙扶	5.700	2.500	0.4	0.447
2446	警報	3.600	5.000	0.49	1.26
1656	參加	5.400	4.200	0.49	1.47
2479	勒索	3.000	6.400	0.0	1.02
1300	精疲力竭	3.000	5.400	0.894	1.96
2730	摩擦	4.000	4.600	0.63	1.36
1999	明瞭	5.800	3.600	0.4	1.36
3512	愛憐	6.200	3.600	0.245	0.8
3621	專心	7.000	3.400	1.0	1.517
988	善意	6.800	5.000	0.4	1.673
176	愛戀	7.600	6.800	0.8	0.4
3521	古雅	6.000	3.000	0.707	1.265
559	昂貴	3.800	4.400	0.4	1.356
3484	引吭高歌	6.400	6.900	1.2	0.735
3695	過載	2.900	5.800	1.14	1.351
3388	健壯	6.900	4.400	0.663	1.02
489	享受	6.600	4.800	0.49	1.327
3999	失竊	1.600	6.400	0.548	1.342
1204	煩	3.400	5.400	0.49	1.02
4935	失約	3.000	3.800	0.612	1.643
705	負心	2.400	6.200	0.49	2.227
2977	奮不顧身	6.300	6.600	0.98	1.855
3051	橫行	3.500	5.500	0.632	1.0
4727	找碴	2.400	7.000	1.342	1.581
2578	驅逐	3.200	6.000	0.4	0.63
1074	無助	3.400	4.800	0.49	1.6
5391	殘害	2.500	5.900	0.935	1.14
1781	審慎	5.600	3.800	0.8	1.6
539	怕羞	4.200	5.400	0.4	1.356
1328	鼻酸	3.400	6.400	0.49	0.8
3487	心心相印	6.700	4.500	0.748	0.447
4239	好用	6.800	5.500	0.748	0.447
2204	人情味	6.400	4.000	0.49	1.26
4070	普通	5.100	3.200	0.548	1.304
3447	堅韌	6.100	4.400	0.735	0.97
4697	抖顫	3.500	7.400	0.866	1.817
304	外傷	3.600	6.200	1.02	1.166
2029	可貴	6.000	3.600	0.63	1.36
1477	蹂躪	2.200	7.600	0.4	0.49
4981	逼走	3.300	6.000	1.304	2.449
1868	均衡	5.200	3.000	0.4	1.41
1496	優惠	6.800	6.200	0.748	1.72
4559	變酸	3.700	3.900	0.671	1.245
83	愛	8.200	5.400	0.748	2.939
2406	否決	3.800	5.200	0.75	1.33
4356	百思不得其解	3.100	5.000	0.962	1.173
4088	挺住	6.300	4.800	0.837	1.351
2105	正確性	5.800	3.400	0.75	1.02
3576	通風	5.400	3.900	1.14	1.14
989	喜上眉稍	7.400	6.800	0.49	0.98
5121	奴性	2.300	2.800	0.671	1.304
3143	逆境	3.300	4.600	1.327	0.49
1271	對抗	4.000	7.200	0.632	0.4
367	曲解	3.400	6.000	0.49	1.414
364	成見	3.800	5.200	0.4	1.327
658	挑剔	3.800	5.400	0.748	1.356
1923	敬佩	6.200	4.600	0.75	1.85
232	才能	6.600	4.600	0.8	1.356
