No.	Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD	Category
648	地點在市中心，出行方便，服務態度好。	6.375	4.625	0.696	1.317	hotel
1053	鄰居擔心情緒激動的曾某會有失控舉動，趕緊報警。	4.000	5.625	0.894	0.696	news
2124	蘋果負責軟體的高階副總裁CraigFederighi對此反駁說，蘋果希望能將產品儘可能的銷售給每一個人，蘋果的產品肯定不僅是奢侈品。	5.889	3.571	0.737	1.178	news
2757	今次法案委員會會議，有一個前所未見?奇怪現象，就係無論個會開成點，會議場內幾亂，都唔見有保安執行主持命令，驅趕議員離場。	3.667	5.625	0.471	0.857	news
1884	可共感的區域方案，積極排除美國重返亞洲所帶來的紛擾，提出屬於中日甚至東亞人民自己的解決方式，纔有可能從美國以重返亞洲之名的圍堵格局裏找到出路。	5.111	4.250	0.314	0.968	political
1482	臺灣選手在國際發光的時候，政府單位能正視電競產業，協助電競發展。	6.222	4.625	0.916	1.218	news
1141	WeatherGirls若是選在臺灣出道，不管實力如何，大家一樣只會批評，果然外國的月亮就是比較圓。	3.444	5.571	0.831	0.728	news
1690	抗議個屁~根本就像是小屁孩，不爽去搗亂而已~這不叫抗議~不叫反服貿~這叫....幼稚、無聊、閒閒沒事做我就是想笑~看到你們抗議變成貪吃鬼跟小偷和觀光客~我真心覺得~好笑~而且噁心~~不要拿服貿來當藉口去搗亂....回家吧你們!!!	2.000	6.000	0.943	1.414	political
2581	邪惡老鼠帝國不只將推出Disney+影音串流服務，現在又將取得另一串流服務Hulu的營運權，目前龍頭Netflix面臨的競爭壓力越來越大。	5.000	5.000	0.535	0.707	news
298	原廠導航..算了吧..小偷超愛的.	3.286	4.125	0.452	1.166	car
2084	SensorTower稱，這款騰訊研發的遊戲在上線之後不久，已經成為當下iOS平臺最賺錢的大逃殺型別遊戲。	6.375	4.000	0.484	2.108	news
662	我們忍了，但友情提醒以後來入住的旅客，對這裏的服務期望值不用太高。	3.250	5.625	0.968	1.576	hotel
2036	孩子難以改變的另一個重大原因，是社會環境的影響，成人的世界、父母和老師每天也都在滑來滑去，要孩子不滑，真的很難有說服力。	3.625	5.875	0.484	1.053	news
1305	原本氣焰高張的韓國隊，此時面如死灰，不敢相信自己居然被臺灣隊逼到角落。	5.333	5.571	1.155	0.904	news
2546	同時舉辦的抽獎活動獎品只有一個，就是由東寶監修的模擬哥吉拉夾克，質感十分接近電影裡的怪獸，無論是面板紋路或是背上的背鰭，還能發出哥吉拉叫聲，是難得的景品。	6.500	4.667	0.5	1.155	news
