No.	Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD	Category
1463	值得注意的是，目前逾期未兌獎最高金額是2008年4月14日開出的威力彩，頭獎達2.5億元，其次則是2011年4月26日開出的大樂透，頭獎1.99億元，同樣也沒人出來領獎。	5.333	5.875	0.943	0.781	news
22	雖然很喜歡張小嫻的文字，麵包樹系列也很早就看過了，但是還是買了她所有自己喜歡的書回來珍藏。	7.000	4.250	0.667	0.968	book
685	真誠的希望您下次再到我酒店來，感受一下我們酒店的其他房間，如健康單間，商務標間，豪單，豪標等.	5.889	4.200	0.875	1.166	hotel
1641	一個殺人工具」，如果這個時候還說要想到保護酒駕者的人權，沒有想到可能被酒駕者傷害的人權，「這個是我們政府在殘忍，對這些被害人在殘忍！	2.375	7.375	0.484	1.111	political
2763	左邊是賣內衣的，右邊是賣襪子的，這間店就在如此野生的夾縫環境中，在喧鬧嘈雜的嬉笑叫賣中，在魚龍混雜的人來人往中，混了下來。	5.222	2.889	0.786	1.449	news
2189	這項新專利已於上週二經過美國專利商標局的批准認可，專利描述中特意提到能夠允許使用者自由走動，不需要摘下頭戴裝置。	5.571	3.250	0.495	1.639	news
1222	首先，得勇敢地讓家人知道，也讓信任的老師知道，讓大人及朋友來陪伴自己面臨挑戰，會更容易面對跟處理眼前的困難。	5.375	4.800	0.992	1.166	news
1731	習近平強調中國取得舉世矚目成就，可自豪但不自滿，「絕不能躺在過去的功勞簿上。	6.000	4.857	0.943	0.833	political
41	書中64個例子，從不同的方面詮釋了“編程之美”，遊戲的樂趣，數字的魅力，數字的樂趣，結構之美，這樣的四個部分，最讓我感覺到印象深刻的是遊戲樂趣。	6.500	4.375	0.5	0.992	book
57	一段悽美的愛情故事，當文字也在哭泣時，或許我們就懂得什麼是悽美，什麼是悲情。	3.889	5.167	0.737	1.213	book
2263	美國海軍飛行員需要接受最嚴格的訓練，但有些時候，他們也會剋制不住內心的調皮情緒，畫出一道少兒不宜的航跡。	5.500	5.143	1.118	0.833	news
2912	被國際刑警發出紅色通緝令的印度頭號通緝犯文子星，印度政府向法庭申請引渡他回國，案件於東區裁判法院開始聆訊，裁判官彭亮廷亦批准免除傳媒報道此案件的限制。	4.800	3.833	0.4	1.067	news
2892	港真，我也經常懷念單身時候的各種奢靡生活，但是俗氣的說，還是婚姻和孩子讓我變成了更好的自己，主要是懂得了付出和不計回報的愛。	7.400	6.000	0.49	0.632	news
1673	童仲彥隨後播放變音處理過的童和好友對話的錄音帶，內容並不清楚，但童再追問郝「你知不知道你太太有收人家鑽石？」郝回嗆說，你如涉及人身毀謗，有種放棄言論免責權到外面再講一次。	3.000	6.889	0.0	0.737	political
1421	曾經與曾政承一起參加電玩比賽的資深玩家王維農表示，相較歐美等地，以臺灣二千三百萬人口能出那麼多世界級電競人才，比例是很高的，他很贊同電競應納入體育的正式的項目。	6.250	5.167	0.661	1.213	news
1867	陳沖強調，自由經濟示範區是臺灣經濟自由化的里程碑，對我國國家競爭力與經濟發展影響深遠，示範區各項議題於今日會議已獲高度共識，僅少部分須再討論議題，請經建會與相關部會研商定案，儘速研提具體方案報院覈定，並同時展開立法作業，各部會亦應全力配合後續法規訂定與推動事宜，以開展臺灣新一波經濟自由化。	5.500	4.444	1.025	1.165	political
1935	臺電民營化涉及電業法、臺水自由化涉及自來水法，修法要經過立法院同意。	4.875	4.375	0.331	0.857	political
317	樓主，TOYOTA版的護衛隊惡劣出了名對TOYOTA車子上網抱怨瑕疵的，就是群起圍剿口誅筆伐、譏諷耶瑜建議你的文章，最好再補些照片、工單等證據，貼上來mobile01來大家就有公評不要理會toyota護衛隊的惡毒言語一些拿工讀金還沒不起車的人而已)可以的話進線0800記得錄音存證)如果它們相應不理，接著下來再找媒體、消保官協助toyota的自衛隊，品行真是太差了可憐買它們家車子，安全配備差價格貴，還得忍受自衛隊的戲弄。惡劣	3.000	7.556	0.707	0.685	car
1621	TIWA專員許家雋指出，臺灣今年1整年有許多歧視外勞的事件，包括行政院增加外勞引進配額，製造更多便宜但血汗的奴工；解決外籍看護工休假問題的《家事服務法》，遭到行政院冷凍多時；臺北車站9月間在大廳拉起「紅龍」，阻止外勞聚集。	3.778	6.000	0.916	0.926	political
296	如果只有HYBRID的差別，動則數十萬的價差，卻要消費者買單，銷售量肯定不會太好看這年頭環保跟銀子，大概還是銀子重要些)，HYBRID車款將會是CAMRY的重要戰略車款，希望借此再拉大與同級對手的差距，如果銷量不好，總代理面子肯定掛不住，因此在配備上預留了一些頂級的空間，讓準CAMRY車主能多掏一些銀子，購買HYBRID車型。	4.125	2.667	1.053	0.471	car
2282	這種狀態稱為反芻思維，即將注意力集中在不幸的事件上，持續關注自身的消極情緒，反復思考可能的原因和後果。	4.375	3.111	0.484	1.728	news
2366	但當他對這個世界有所疑惑，希望尋求解答或幫助時，大人們卻只會說自己好忙，或者責備他整天不讀書，都想些沒有意義的事情做什麼？	3.000	5.667	0.0	0.943	news
2429	在今次事件之前，Google的Nexus6P、Pixel和Pixel3過往都出現過重啟、相機應用和資料備份問題。	4.375	2.875	0.696	1.536	news
2900	玩家將回到法國的黑暗時期，處處都可以發現帶著黑死病病源體的老鼠亂走，鼠群在染病後變得凶惡，四處襲擊人類並將身上病毒擴散開來。	2.333	6.286	0.471	1.03	news
2475	目前有越來越多的證據表明，許多年輕的遊戲玩家在玩電子遊戲時出現了上癮行為，並因此面臨著極大的心理壓力。	3.286	5.429	0.452	1.05	news
1891	沒錯，前總統阿扁因涉貪入獄，論法是該被關，但站在不少臺灣人的角度，誰纔是真正的貪汙犯？是蔣介石，更是國民黨，以致臺灣長達40餘年的黨國不分，黨庫通國庫，這口怨氣，或許就是馬英九總統欠阿扁的一個公道：特赦阿扁吧！	3.714	6.778	0.881	1.812	political
1318	Garena官方表示，臺北暗殺星」在此次世界冠軍賽中優異的表現，一路過關斬將，讓全世界都能夠看見臺灣職業電競選手的努力及堅強實力。	6.444	5.889	0.497	0.875	news
2184	近日，有媒體報道稱，讓人們煩不勝煩的騷擾電話之所以有增無減，其原因在於撥打騷擾電話的所謂電信增值業務基本上只要給錢就能辦。	3.667	5.000	0.816	0.756	news
2294	雖然新照片與舊景點圖片的風格沒有太大的差別，但它巧妙在故作不經意地將穿了TheNorthFace服裝的人物和品牌Logo亮了出來。	5.444	3.000	0.497	1.764	news
2786	南投國小大門入口一株百年老榕，枝芽依舊茂盛開展著，樹上懸掛健康快樂負責感恩的旗幟，還有早年南投公學校等歷來校名，歡迎歷屆校友回孃家。	6.556	3.667	0.497	1.333	news
969	關於字小的問題，正好可以限制自己的上網時間，也算優點，哈哈。	6.400	4.286	0.49	0.881	laptop
1865	依據經建會所提自由經濟示範區規劃方案，包括市場開放、法規調適及行政效能提升，並結合適度產業發展政策而設立自由經濟示範區。	5.000	1.875	0.0	1.053	political
2121	正如最近報道的那樣，Windows10May2019更新已被阻止在具有某些驅動程式和過時服務的PC上安裝。	4.444	1.875	0.497	0.781	news
1593	立法院昨天休會前通過朝野協商結論，國營事業績效獎金確定維持上周方案，一百年度國營事業績效獎金不得超過一.二個月，一○一年起則須有盈餘才能發放，最高額度也不得超過一.二個月。	5.000	3.375	0.0	1.111	political
2939	疝氣開刀治療並不困難，但許多患者常常不以為意，醫師提醒疝氣容易造成腸子卡住回不到原位，嚴重時更會導致腹膜炎及敗血性休克，危及生命。	3.778	5.000	0.629	1.414	news
1530	這對母女間自然流露的溫馨互動，似乎讓溼冷的天氣暖和了起來，心裏不禁納悶，什麼樣的教養方式，才能培養出如此自主又有禮貌的孩子？你可能對黃淑文的名字不陌生，她也許是你的國中老師、你也可能看過她的書或部落格，或在大學課本上讀過她的文章「從浪人到鐵人」。	6.375	5.500	0.484	0.5	news
145	現實所以我沉迷於古代小說無法自拔幾乎愛戀	4.875	5.750	0.781	0.829	book
1692	沙文主義，她說「世世代代以來，我們是不曾被逆境打倒的福爾摩沙之子」；在社會基礎上，她影射正當性危機，她說「焦慮與不安正在這個國家蔓延」；在政府表現上，她譏諷馬英九總統專斷獨裁，她說「執政者不理會人民聲音、只是一意孤行」	4.111	6.875	0.875	1.053	political
746	我正好趕上颱風沒有辦法只能在那住要不我不敢保證還會住那裏.	3.444	4.000	1.066	0.926	hotel
1750	放鬆一下心情吧，或許意見不同或許看法相異，我仍然珍惜所認識的每一個人.	6.222	3.429	0.786	1.178	political
336	Toyota賣了這麼多車，是否要釋出多一點的利潤給旗下的員工?	4.286	5.750	0.452	0.433	car
1890	很難想像，「如果以政黨協商方式、有條件特赦陳水扁，是可讓社會對立氣氛和緩」這句話竟是行政院長陳沖所說出口的，但也真佩服陳沖的真心話大冒險。	4.250	5.444	1.09	1.571	political
2955	抑鬱症會影響許多人的生活，雖然目前有許多治療方法可供選擇，但多數見效緩慢，需要數天甚至數週才能讓人感受到好處。	4.889	3.556	0.737	1.257	news
299	我比較擔心的是重機那天不會打滑失控迎頭撞上你至於一般小汽車路上開的有九成以上沒有循跡系統吧舊車不會有新車要高階車款才有)你真的天天在想在你四周那些國產車那天不會打滑失控迎頭撞上你嗎?	3.667	5.625	0.816	0.992	car
1584	中油擴張解釋規定，還說中油只是申報填寫時「偷懶」沒寫清楚，所以審覈時依「事實認定」，照給最高上限的績效獎金。	3.889	5.333	0.875	0.745	political
1540	收到稿費後，請孩子吃大餐分享喜悅。	7.111	5.571	0.737	1.678	news
2870	屏東東港一名男子疑因追不到檳榔妹，5日深夜怒氣沖沖地闖入檳榔攤，將檳榔妹壓在牆角狂毆，全程都被門口監視器拍下，影片遭PO網友後，引來網友撻伐，	2.900	6.800	0.943	0.872	news
47	張曼娟的文字和張小嫻一樣，都屬於療傷係，雖然我沒有受傷，但這並不影響我對她的喜愛。	6.222	4.000	0.786	1.054	book
2430	近日，很多使用者了收到了三大運營商發來的相同的簡訊息，在這條安全提醒的簡訊中，運營商呼籲使用者抵制騷擾電話。	5.000	2.625	0.0	1.495	news
1990	特別吳育昇明明之前就失敗了還敢再來真的超可笑的這不是民主這是政治惡鬥你要罷免去罷免那些貪汙的黑道或其親屬)的跟你們作對就要罷免這到底是什麼民主	3.000	6.667	0.5	1.054	political
2099	中國外交部發言人耿爽回應時，敦促美方尊重市場經濟原則，停止將國家安全泛化的錯誤做法、停止對中國企業的無理打壓。	4.667	4.000	0.471	2.345	news
1849	首都市長隨便拿別人的健康開玩笑?	2.889	6.667	0.737	1.054	political
172	才知道原來他們都愛彼此愛的那麼深。	5.875	5.333	0.781	0.943	book
1340	頭獎擦身過排前頭男子鬱卒只是幾家歡樂幾家愁，一名江姓男子昨天無奈的說，這名中獎年輕人就排在他後面，他自挑了同迭的「紅包一把抓」刮刮樂兩張，當時剩沒幾張，卻沒挑中，與三百萬元擦身而過，害他鬱卒一整天。	3.875	5.875	1.053	0.599	news
1323	一大早他的座位就擺滿紙鶴，許多同學一邊折一邊忍不住啜泣；教室講臺上的螢幕，也播放方小弟與同學共同表演的畫面，現場氣氛令人動容。	2.750	4.667	1.479	1.106	news
2465	德銀報告認為，有60%機會中美今個月未能達成協議，以及美國對餘下3000億美元中國商品加徵關稅，形容雙方都不讓步，因為貿易戰對中美仍未造成足夠大的傷害。	3.500	5.000	0.5	0.926	news
2964	塑膠污染每年造成海洋生態系統經濟損失超過130億美元，而且到2050年海洋塑膠污染影響層面會擴及整個生態，問題只會越來越嚴重。	2.222	6.875	0.916	0.781	news
563	首先酒店任何員工對客人都沒有應有的尊重，客人可以被他們呼來呵去，其次CHECK-IN和CHECK-OUT都要半小時以上，強烈BS張靈芳和左瑞雪，效率低下，態度傲慢.	2.444	5.333	0.956	1.374	hotel
1028	更有不少人表示「贏韓國就是爽」，指韓國人不作弊就輸了（編按：AZF日前有選手在比賽中觀看大螢幕，藉以知道對手位置）。	5.889	4.750	0.875	1.392	news
1352	她的腿，疑似骨折動不了，躺在旁邊滿頭是血的，是她的兒子，雖然自己也受傷，但是看到擔架一來，她要救護員快先救兒子，這是現場情況，另一邊已經有兩大一小，先送到醫院，但都是到院前沒有生命蹟象，經過醫生搶救，好不容易救回一大一小，其中一人不幸死亡。	3.500	4.143	1.118	0.833	news
1870	蔡英文不忘批馬英九的心思在競選國民黨主席連任，「自己國家自己來救」！	4.250	5.500	0.433	0.866	political
731	我是聽西門子的朋友推薦選擇這家酒店的，訂的豪華間，總體感覺不錯。	6.625	4.600	0.484	1.356	hotel
1834	據轉述，黨團幹部也說明，立院各黨團協商時，臺聯主張全刪，否則將杯葛總預算的審查與協商；朝野黨團達成績效獎金的刪減共識，過程中行政院長陳沖、主計長石素梅都有瞭解，也有事先溝通。	5.000	4.143	0.0	1.125	political
1167	臺灣電競環境還未成熟盼政府協助MiSTakE也表示，自己從來沒懷疑自己選的路是否正確，或後悔走上電競路，只懷疑自己是否盡了全力，對於想踏入電競道路的玩家，MiSTakE說，臺灣的電競環境還未成熟，自己需先做好生涯規劃，兼顧自己生活，再儘可能去闖、去追夢。	5.444	3.500	1.165	1.118	news
1790	前行政院秘書長林益世涉嫌貪汙，馬清廉形象受損，黨內要角連勝文批評馬是丐幫幫主，暗示全國在他領導下都是乞丐。	3.000	5.571	0.0	0.495	political
