No.	Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD	Category
2146	天上掉餡餅的傳說從來不適合房產這樣的大宗交易，不過，也不必悲觀，在北京還是有那麼一批二手房，價格對剛需十分友好。	6.000	3.286	0.0	0.881	news
2056	1988年，在美國麻省波士頓，有位40多歲的女性柯雷雅做了心肺同時移植的手術後，出現了許多微妙的改變。	5.429	3.500	0.495	1.414	news
253	袁喜和步懷宇，他們倆人的愛情來的磨難重重，有的時候甚至會有些憎恨袁喜的固執，惱火她的倔強。	4.625	5.400	0.484	0.49	book
951	鍵盤的鍵程還可以，但方向鍵是縮小的，打fifa類的遊戲會很不爽。	3.250	5.875	0.661	0.599	laptop
1431	沒錯，蘋果的崛起可以說是創新的代表，從iMac、iTunes、iPod、iPhone、iPad及iOS作業系統等產品，一路下來都賦予產品創新的精神，也因此獲得市場的肯定。	6.600	5.857	0.49	0.639	news
943	最喜歡的是旅遊時可以隨時讀取ＳＤ卡，隨時上傳ＰＰ。	6.667	4.667	0.816	0.816	laptop
1247	另外，美國日前呼籲歐洲盟友加入美國亞太區「再平衡」戰略，並多次強調不針對特定國家，更不會威脅中國。	5.250	5.571	0.661	1.294	news
1993	失望對象二:民進黨他們到底知不知道何謂責任?	2.889	6.000	0.567	0.816	political
1797	就直接可以抵達，不用再像過去一定得到忠孝新生或者是古亭轉車，同樣節省不少時間。	5.429	5.286	0.495	0.7	political
1183	孩子就是不愛讀書，她也沒辦法。	4.000	4.143	0.667	0.833	news
508	殊不知路邊伸手乞討的，有可能是開大賓士呢...至於反駁您的論點，也是您提出的論點實在過於荒繆路上常見到的車，只不過是符合大多數人購車的需求省油，妥善率高，並非啥安全性非常好的車款尤其是偷過安全配備的車款，而小弟的目前的所開的爛車，等級也只比國產的Camry再高一點而已不是多好的車子所以就不拿出來說嘴了	3.375	6.000	0.484	0.707	car
2436	維基解密在宣告中表示，阿桑奇在厄瓜多駐倫敦大使館待了近7年，期間他的健康狀況已經顯著惡化，他在貝爾馬什監獄的7個星期裡，健康狀況持續惡化。	3.571	5.286	0.495	0.7	news
1331	吳信達老師同時表示，讀書本來就不是一作很輕鬆的事，別人也是苦過來，而那些工作壓榨者，會是你的阻礙，也是幫助者，可以幫助你振作，他強調，當你可以跳脫阻礙之後，人生沒有什麼事可以難倒你的。	5.625	4.750	0.992	0.829	news
48	最愛她《百年相思》裏的《傳奇》捲，原本看似幽暗充滿憤懣的傳說，卻被她溫柔款款地道來，感受那些歷史長流中紅顏女子的喜怒哀樂。	6.000	5.375	0.894	0.857	book
2011	美方在中美經貿磋商過程中言而無信、反覆無常，前一刻說出的話，下一秒就能自我推翻，翻臉的速度比翻書還快。	3.625	6.000	0.484	0.5	news
973	很不錯的機器，做工驚喜，外觀漂亮，包括燈光系統設計都很人性化，機器配置均衡，總體來說配置算不錯的了，運行Vista比我想像的要流暢，以前一直用XP，從來沒用過Vista，原本打算不行就換要XP了，但是使用後發覺Vista用起來也挺順手，該機雙通道2GDDR1066的內存完全可以保證Vista流暢運行，也就不打算折騰換XP了！	6.750	5.143	0.433	0.833	laptop
2957	好吧，雖然有點失望，但也是沒辦法的事，畢竟，不是送禮給對方他就有義務要喜歡，我也收過不喜歡的禮物但還是客氣地說謝謝這禮物好棒喔，小孩只是沒那麼世故而已。	4.571	4.000	1.05	0.926	news
2510	第一次發文，給大家介紹的一臺旁軸，奧林巴斯35dc先說說這臺相機吧，很經典的日本旁軸相機的風格，方方正正的，體積也不大，至於為什麼說它是傻瓜式的旁軸呢。	5.000	4.833	0.0	0.898	news
2805	正善事業符合五常道，仁宅義路，光明正大，利己利人利民利國利益天下；邪惡事業違反五常道，惡宅邪路，卑鄙齷齪，禍家禍國害人害己禍害世界。	5.143	5.833	0.35	0.898	news
907	淡紫色+白色的鋼琴烤漆很漂亮，鍵盤上部五個觸摸快捷鍵背景燈做的相當漂亮！	6.875	6.444	0.331	0.497	laptop
2062	因為以往IKEA的店面都比較偏遠，而現在主力年輕消費客群進入大城市，不太常開車，習慣在網上購物，雖然現在年輕人還是喜歡IKEA，但他們不想開車。	4.889	3.667	0.314	1.333	news
