Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
都是出於施捨者	4.5	4.5	0.5	0.5
然後就把手機遺失在公車上了	4.0	5.333	0.0	0.471
夜夜回春人激昂	6.333	6.667	0.471	2.055
就是有這麼多明明更無知卻又自大爆棚的人	2.5	5.6	0.5	1.744
豈不知等到再繼續肆虐耍流氓	3.0	5.333	0.0	0.471
但人口數則相反	3.5	5.5	0.5	0.5
讓他的心變得率直	6.6	4.2	0.49	1.47
身後的恩惠要留流得久	6.667	5.333	0.471	1.247
而不是八面玲瓏的虛偽政客	5.2	6.5	1.833	0.5
評審都是女人和同性戀女權自助餐	3.0	6.0	0.0	0.0
是故意用來讓我自爆的武器	3.6	5.25	0.49	1.09
人力是一種資源	5.333	4.333	0.471	1.247
飛機其他部分和失事原因以及飛行員下落依然是個謎	3.333	3.25	0.471	1.785
不逼迫他說話2	4.5	4.0	0.5	2.0
我不需要那個東西	3.333	6.333	0.471	0.471
一隻就非常草率的在撩草叢的樹葉	5.0	2.0	0.0	0.816
唔理個塔大技緊要	5.0	4.0	0.0	0.0
也像法國一樣罷工的時候	3.5	3.8	0.5	2.315
現在厄運就要降臨到這個世界來	2.6	5.0	0.49	2.0
畫畫的時候腦海裡浮現在我受難的時候	4.0	4.6	0.0	1.744
含有多種有益於身體的營養成分	7.0	5.333	0.707	0.471
請觀看完整視訊	5.0	2.333	0.0	1.247
依靠嘴巴來收集惡運	3.333	5.0	0.471	0.816
拿撒勒人被人出賣釘上十字架	3.0	4.25	0.0	0.829
透明水凝膠質地	5.0	2.5	0.0	1.5
這件褲子我把他掛在衣櫥裡當作警惕	4.75	4.2	0.829	2.315
騎上健壯的俊馬	6.667	4.0	0.471	0.816
你就開始新一輪的論戰	5.0	4.0	0.707	2.55
觀察力也非常出眾	7.667	6.333	0.471	0.471
爭做文明有禮蕭山人	5.5	5.25	0.5	0.829
我覺得依然會有類似東南互保的宣告發出	5.0	5.25	0.0	0.829
色戒的一個缺憾	3.25	2.5	0.433	1.118
這是老天爺在處罰臺灣人民嗎	3.5	6.0	0.5	1.414
為什麼把摺疊傘收整齊那麼難	4.5	3.5	0.5	2.5
原來清潔假新聞也只是口號	3.0	5.25	0.0	1.299
他為中國民主奮鬥了一生	7.0	5.0	0.0	0.0
整個中國汽車市場就不景氣	3.5	5.25	0.5	0.829
大雨洗淨後的重生	6.6	4.0	0.49	1.414
免得你因此陷入網羅	3.75	4.6	0.433	1.356
也佩服歐崇敬的預測神準	7.0	5.2	0.0	1.6
倒黴是一種傳染病	3.0	3.5	0.0	2.062
待靈魂於冥河消散	4.667	2.667	0.471	1.7
或是閃光燈照出來效果總是讓人吃驚	6.0	5.5	0.0	0.5
那麼珍惜每一塊錢的外婆一出手就是一千塊	6.0	4.75	0.894	0.829
但涉及到戰後的國際秩序	4.333	2.667	0.471	1.7
疲倦時靠一靠	5.6	2.75	0.49	0.829
我就覺得天啊超尷尬	3.333	7.667	0.471	0.943
人得留心傾聽主的聲音	6.0	3.5	0.0	1.118
這就是我們心儀的美國總統	6.667	5.667	0.471	0.943
冠冕堂皇的理由經不住推油的按摩	3.75	3.2	0.829	1.6
