Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
郭文貴的態度已經很明確了	5.0	6.333	0.0	0.471
燕施恩走出醫院的那段話太揪心了	3.0	7.0	0.0	0.707
倒也足以列入神作殿堂	6.333	5.0	0.471	0.707
不能一跛一跛的走	4.5	5.5	0.5	1.118
奴隸的祖輩一開始被奴役時	3.667	4.0	0.471	1.414
全心奉獻給所有家庭成員	7.5	6.25	0.5	0.829
我們要避免這一天的到來	4.667	6.0	0.943	0.816
也沒有這種魄力	4.0	4.5	0.0	0.5
很多人還在爭論要不要存糧	4.6	4.25	0.49	0.829
有稱男童被猥褻致肛?	2.5	6.667	0.5	0.943
以厭勝之術詛咒教主	3.5	6.0	1.118	0.816
玷汙國家形象不知恥	2.333	7.0	0.943	0.0
最淺顯易懂的方式推廣蔬食	6.4	4.5	0.49	0.5
典型溫情醫療劇	6.667	3.0	0.471	1.414
不過幾百年的領先而已	5.0	3.0	0.0	0.0
和高通起訴蘋果的套路一樣	4.5	5.25	0.5	0.433
米德加爾特大陸主要由三個國家分據	5.0	2.667	0.0	1.247
菲律賓總統杜特蒂10日稱讚中國的經濟發展和中國人民的工作態度	6.5	5.0	0.5	0.707
但今天就有女生穿粗跟涼鞋參加	5.0	3.333	0.0	2.055
站街的妓女看誰都是出來賣的	2.5	6.0	0.5	1.0
從來都是那些如同中國共畜坑騙	2.0	6.333	0.0	0.471
而且之前很多人有吃到開放大陸人來臺觀光的甜頭	6.0	5.0	0.816	2.16
最後被歐蒂娜啟發最後靠自己的意志走出學校	6.5	4.25	0.5	1.92
我給香港特首老同事的一句勸告	4.667	4.333	0.943	2.055
各種偏執與需要被照顧到的情緒都有了清楚的面向	6.5	4.5	0.5	0.5
但是在欺詐作弊上可是老手	3.333	6.0	0.471	2.16
沒有寶二蘇特很可惜但我該知足	6.0	6.0	0.0	0.0
為當時前線的人民子弟兵敬禮	7.0	4.667	0.816	2.494
真的很難以置信	5.0	6.75	0.0	0.433
那些衛生間太難聞了	2.75	6.0	0.433	0.0
一些長輩的看法是感到荒謬	4.0	5.0	0.0	0.816
沒有及早觀察到她的缺陷	3.0	5.4	0.0	1.2
永隆前高層妻哭訴	3.0	5.333	0.0	2.494
用純真的心看見	7.4	5.0	0.49	1.225
或像你這樣含糊其辭一句帶過	3.6	5.25	0.49	0.829
除了在全港不同地方設立輻射監測站	5.333	2.667	0.471	0.471
讓臺灣幾乎倒退回數十年前的加工出口特區	3.0	5.0	0.707	0.0
這不是信仰而是褻瀆神靈	3.0	6.75	0.0	0.829
但獨吞我們地方農產外銷的功勞這個我就不能忍受了	3.0	7.5	0.0	0.5
水果的酸甜感跟巧克力的味道搭配起來滿和諧的	6.333	4.333	0.471	0.471
鳥語花香向來都是讓人暇意愉快的美景	6.667	5.0	0.471	0.816
保證能吃的都吃膩了	4.0	4.2	0.0	1.833
其狼子野心可見一斑	3.333	6.333	0.471	0.943
所謂拆除都是違建	4.5	5.0	0.5	2.0
留意一下看看是不是都來自同一家店	5.0	2.667	0.0	0.943
當時的臺灣太富饒	5.0	4.2	1.789	1.833
這個人扮豬吃老虎情結很重	3.333	6.667	0.471	0.471
蕩婦一邊和老公通電話	3.0	6.333	0.0	0.471
舉國的審美與風尚也會發生變化	5.25	4.75	0.433	1.09
妳支撐了多少支持者的心靈	6.333	6.333	0.471	0.471
牧師長老為什麼能公然違背主的話	3.0	6.6	0.0	0.49
但為什麼這麼難熬	3.5	6.25	0.5	0.433
容許法庭嚴懲釋出假新聞或資訊的個人及網路平臺	5.5	5.333	1.118	0.471
從你嘴裡說出簡直像天籟	7.0	6.333	0.0	0.471
梳理和處理社會上出現的各種犯罪	5.667	4.0	0.471	0.816
還有有名的人上電視替它們宣傳	6.0	6.0	1.0	0.816
真是顛覆了我的三觀	4.0	6.75	0.894	0.433
你寫個穩定產出的部落格我也算你有	7.0	6.0	0.0	0.0
餵親都要搏鬥半個鐘	4.0	5.333	0.707	0.471
你是不是嚴重低估了小孩的小聰明和智商	3.6	6.75	0.49	0.829
劣誕下的怪胎!它們禍害華夏近百年	2.0	8.0	0.0	0.0
清明生日也是4	5.0	2.667	0.0	1.247
不停地找事物來迷戀	5.333	4.333	1.7	2.055
自己要送異性戀先淘氣的業餘女孩	5.667	4.0	0.471	2.16
卷宗丟失調查取得進展	5.667	3.333	0.471	1.7
脫褲子放輕快屁	5.0	3.0	0.707	1.414
黑暗中的一點螢火	6.667	2.0	0.471	1.414
他不僅僅是忘恩負義	3.0	7.0	0.707	0.707
那為什麼現在我們國家步步走向繁榮	6.333	6.0	0.471	1.414
安守自己純真至善的本性	6.6	3.8	0.49	1.6
總有一些骯髒齷齪之人為了蠅頭小利甘願當狗腿子漢奸	2.667	7.0	0.471	0.0
都變得很有理由了	5.0	3.5	1.0	0.5
狠心棄養自己的骨肉	2.6	6.0	0.49	0.894
只能靠忙碌來麻醉自己	3.667	4.333	0.471	0.471
他尋求初步禁令	5.0	2.75	0.0	1.479
原本過著和平的高中生活的兩人	5.667	5.333	0.471	1.247
事出反常必有妖	4.0	5.75	0.0	0.829
如果歐巴馬即將執政的時候冒出一個他媽媽跟普丁生的私生子	4.0	5.333	0.816	0.471
還真是飛來橫禍不砸花花草草專砸我	3.0	6.5	0.0	0.5
就愈讓人們懷疑這些故事	4.0	5.0	0.707	0.707
一個萬人唾棄的紅色通緝犯和一個被邊緣化的所謂	2.333	6.667	0.471	0.471
全部用奇異筆圈出來	5.0	3.0	0.0	2.0
能讓電視機前的老鄉爽一週	7.0	5.0	0.0	0.0
有的甚至被當場性侵至休克	2.667	6.667	0.471	0.943
製造過最觸目驚心的饑荒	2.5	5.333	1.118	0.471
癌症治療一個月需要4	5.0	3.0	0.0	1.414
女生就會更不勇敢	4.0	4.5	0.707	2.693
被持槍搶劫130萬女官員	3.0	5.0	0.816	2.449
被犯規很少有哨	5.333	4.333	0.471	0.471
我們的絕熱板的效能達不到英國和日本的絕熱板的效能	4.0	4.0	0.0	0.707
你經常受到生活中不如意的事所影響	4.0	5.667	0.0	0.471
太真誠的表達內心	6.5	4.4	0.866	2.245
桑塔露琪亞的小船在搖晃	5.0	2.25	0.0	1.299
無論既遂或未遂	4.333	4.333	0.943	1.7
深圳特區的奠基人	6.0	2.5	1.0	1.5
實際上紐約慈航基金與慈善沒有半毛關係	4.667	3.75	0.471	1.92
那種不屑的調調	3.0	5.333	0.0	0.471
今天刷推很踴躍的樣子	6.6	6.0	0.49	1.414
一直不停的在迷惘	3.0	5.8	0.0	0.4
義勇推感覺都是懂得體現自己慾望的成熟大人	6.75	3.25	0.433	0.433
讓鍛煉變得越來越	5.0	4.667	0.0	0.471
出兵80人上戰場	4.667	4.0	0.471	2.449
這明顯是對匪自己不利才會選擇的行為	4.333	4.333	0.943	2.357
西醫治了多家醫院	6.75	5.25	0.433	0.433
這些堅果超營養	8.0	6.4	0.707	1.356
負有政治輔導責任的教師	6.5	2.0	1.118	0.816
我非常瞭解和欽佩的人	7.0	6.0	0.707	0.816
學歷最高30分	4.667	4.333	0.471	0.471
美國和英國共謀語文建議	5.4	3.2	0.49	1.6
冰箱等傢俱損毀後	3.0	3.667	0.0	1.7
我會毫不猶疑的下嫁於他	5.5	6.2	0.5	2.135
你們又不是貧窮的人	4.5	5.0	0.5	1.0
至少是煩躁而不是易怒狀態	6.0	4.5	0.0	0.5
那麼美方就會大受鼓舞	6.0	5.75	0.0	1.92
忙碌的現代人學得簡易按穴法	5.6	4.5	0.49	0.866
而且郭蹲下去的時候她的肢體僵硬到	3.333	4.0	0.471	2.55
可能繼續活著總會看清	5.667	5.667	0.471	0.471
你的眼睛讓我入迷	7.0	5.0	0.0	2.0
但封賞那無賴和要齊王的封號幾件事確有幾分調皮	4.333	5.667	0.471	0.471
則不可得志於天下矣	4.0	4.2	0.0	2.926
網路上隨便哪個相同興趣的很少會是同伴	4.0	6.333	0.707	0.471
喧鬧的人都在流浪	4.0	3.6	0.0	2.332
研究人員的性別可能影響實驗鼠的疼痛反應	5.0	3.75	0.0	1.92
一夜清寒侵幽巷	5.0	3.0	0.0	1.673
將護膚重心放在舒緩鎮靜上面	6.0	1.667	0.707	0.471
由針槍補足一些	6.0	3.0	0.0	1.414
是何等慷慨浩然	7.0	7.0	0.894	1.414
我爸爸癌症確診	3.25	5.2	0.433	2.04
看公開信的革命情懷	6.667	5.667	0.471	1.7
摔筆或是很用力劃掉原稿	3.0	7.0	0.0	0.0
他富有我不覺得自己高攀	6.0	5.25	0.0	0.433
先是當了大壞蛋舅舅	3.6	4.8	0.49	1.939
民選議員被褫奪議席	3.4	3.2	0.49	2.04
甚至分開只是合理化你的行為	3.0	5.0	0.0	0.816
它的裂痕始終存在	3.0	6.25	0.0	1.299
談判一定會討價還價	4.0	5.0	0.0	1.414
美國已在該地區發動心理戰	5.0	3.0	0.0	1.581
已經快頂住高壓線塔了麼	4.5	4.0	0.5	2.121
這幾個作秀都很突兀	3.5	5.5	0.5	0.5
精通各種出道和翻牆的技術	6.5	4.2	0.5	1.47
年民進黨空前大挫敗	3.0	6.5	0.0	0.866
不一起慶生不代表我在你心中不重要	7.333	7.333	0.471	0.471
去剪頭髮被設計師說看動物星球頻道感覺很博學	6.667	4.333	0.471	0.943
野心利己的俄國到了?後退	3.667	6.0	0.471	0.816
真令人心曠神怡	6.75	5.75	0.829	0.433
你們的女神林昭能激勵你們什麼	3.75	6.5	0.829	1.5
參選者大都以為自己有本事使臺灣經濟繁榮就可以被擁護當選	4.0	5.0	0.0	1.414
這條瘋狗喪盡人味兒	2.667	4.667	0.471	0.471
即使沒有人為你鼓掌	5.5	3.5	0.5	0.866
川普繼續在推特上挑釁	3.25	5.5	0.433	0.866
為什麼貼紙出入境泰國順暢無比	4.5	5.5	0.5	0.5
每次見面還是很新鮮呢	6.5	6.0	0.5	0.0
當你的生命力在我眼前一點一滴消逝	3.0	4.4	0.0	1.855
如果你要把你的孩子當廢物養	2.6	7.6	0.49	0.49
那臺灣人還在客氣什麼	4.0	6.6	0.707	1.356
作為終極審判者	5.0	2.667	0.0	1.7
胸不平何以平天下	5.5	4.75	0.5	1.09
這什麼奇妙的展開	6.0	6.5	0.0	0.866
是如何把你培養得如此從容	6.5	4.6	0.5	1.2
越是覺得自己很厲害而自滿的人	4.333	5.333	0.471	1.247
冰火問我怎麼區分知己	5.0	4.4	0.0	1.625
是你們支撐著我	7.0	6.667	0.0	0.471
缺乏睡眠會扭曲你的基因	4.5	4.75	0.5	0.829
女孩緊緊抓住男子的衣服	5.0	3.667	0.0	1.247
我來日本以後從來不跟支那人交往	3.333	5.667	0.471	0.471
而今如履薄冰的句句諾言	3.333	5.667	0.471	1.886
兩天的假日根本不夠彌補身心靈的創傷	3.5	4.75	0.5	0.829
只是妳得設法忽視他背後那根情緒反應變化既強烈又明顯的隱形尾巴	5.0	3.0	0.0	2.0
大意我身居海外	5.0	6.333	0.0	0.471
不需要解釋安撫	5.0	2.25	0.0	0.829
那些所謂的傷心痛苦和生活相比狗屁都不算	3.0	7.333	0.707	0.471
辛酸並娛樂地去感恩	6.0	6.0	0.0	0.0
六七月份或蔓延至華北啃玉米	4.333	5.0	0.471	0.0
專屬於你的王妃	7.0	5.0	0.0	2.121
我應該多產點糧	5.5	3.2	0.5	1.6
譬如酒駕騎車摔水溝昏迷	4.0	4.0	0.0	0.0
老實說有很洩氣也有很溫暖的部分	5.333	5.667	0.471	0.471
子瑜本人像仙女一定是無庸置疑的	8.333	8.667	0.471	0.471
首先中國的工業用地價格就會暴跌	3.667	6.333	0.471	1.247
高價醫材是另一件事情	5.0	5.0	0.0	0.0
這幫傢伙就是內戰內行	3.5	6.0	0.5	0.707
這回貿易戰會犧牲很多無辜者	3.0	5.2	0.0	0.98
冀望能和長達九年的考試生涯告別	6.333	6.0	0.471	1.633
泛起嫋嫋的煙霧	5.0	3.0	0.0	0.0
也說不定明天就會變回灰綠了	4.0	5.0	0.0	0.816
都苛求彼此不得	4.5	4.5	0.5	0.5
盡管當下仍然阻礙重重	5.667	5.667	0.471	1.247
抑鬱症也是精神病	5.0	4.0	0.0	0.0
那還是德國沒提防的情況下	4.0	5.0	0.0	0.0
激動處青筋爆現	5.0	5.75	0.0	1.92
也得以發現了咒術的天賦	6.5	5.5	0.5	0.5
講價值理念無效可以談經濟民生	4.25	4.75	0.829	0.829
一定就必須引進外來的	5.0	4.8	0.0	2.561
平田博士說現在確實有問題	3.6	3.5	0.49	0.5
就是讓世界科技停滯不前	3.0	5.5	0.0	1.5
每一條都是特許中國	4.0	6.25	0.0	0.829
我突然渴望他認識我	6.0	6.0	0.816	2.449
中國早已不是外向出口型經濟了	5.333	4.333	0.471	2.494
賣弄一下矯情的文字或有限度的性感是	4.5	4.0	0.5	2.236
但是不能因為立場而卑鄙到顛倒黑白的程度	4.0	7.25	0.707	0.829
三者合一便構成如此風流雅緻的姿態	7.0	6.0	0.707	0.0
收受和行賄25人	3.333	4.667	0.471	0.471
為什麼我逛街時堅決要自己行動不要他陪	4.75	4.6	0.433	2.577
要贈送經過開化寺註生娘娘加持	6.333	4.0	1.247	1.414
九天玄女等神從而增進宿命論中的姻緣	6.0	4.0	0.707	0.816
只是感覺鏡頭可捕捉	5.0	3.2	0.0	1.47
當歐洲兩極分化已經到達空前絕後的程度	3.25	5.5	0.433	0.5
我覺得只是被放在旁邊的泰泰很安適了真的	5.667	4.333	1.247	2.055
潘家錚等德高望重的科學家	6.333	5.0	0.471	0.816
一系列目標上倍下賭注	5.0	4.0	0.0	1.0
你們如果不饒恕別人	4.5	7.5	0.5	0.5
有的父母是嚴厲的管教孩子	5.333	3.0	0.471	1.633
讓生活更便利一點的小物	6.0	5.0	0.0	0.0
都是我用盡全力寫的文	7.667	6.0	0.943	2.449
是真的能夠撼動人心的	7.5	7.0	0.5	1.414
但因為你的媽媽生病了	3.6	4.75	0.49	0.829
那麼高尚的是王	6.75	5.0	0.433	0.707
但是我沒有?電梯抽煙道德阿	3.333	6.5	0.943	0.5
何必因為欠債而做出這種如今要悔恨終生的事	3.0	5.667	0.0	0.471
當然必需要靠透視的幫忙	5.667	4.667	0.943	1.247
也恐將掐斷他們最珍視的	3.0	7.0	0.0	0.707
風輕歌全身的肉都繃緊了	5.5	5.75	1.118	1.09
發覺自己連私生活也沒有	3.0	6.5	0.0	0.5
聖母婊就是裝成聖母的淫婦	2.75	4.25	0.433	1.479
以前我就是混黑道的	4.0	6.0	0.0	0.816
可惜沒有奶只能靠召喚石輔助	3.5	4.0	0.5	0.0
變得跟狗一樣順從	3.667	3.667	0.943	3.091
我覺得家事適度就可以	6.0	5.0	0.0	0.816
卻支援卡扎菲這樣的嗜血暴君感到詫異	3.25	7.25	0.829	1.479
的話我們也無法體會到百餘年	4.5	3.333	0.5	0.471
但是居然一個禮物	5.5	6.333	0.5	0.471
中華民族可會一蹶不振	3.333	5.0	0.471	0.816
絕不承擔法律責任	5.0	5.75	0.0	2.861
緋聞總能佔據微博熱搜版	3.6	5.75	0.49	0.829
我倒希望你是仙人	5.0	6.0	0.0	0.0
早已過了爭風吃醋	4.6	4.0	0.49	0.707
還要佔領別人的國家	3.0	6.0	0.0	0.0
債務還有27	4.0	3.0	0.0	1.414
它不會為中國帶來什麼根本性的變動	3.5	4.0	0.5	1.0
畢業於知青勞改隊的文盲習近平	3.75	5.0	0.433	1.225
所以比起來氣急敗壞的議員才像壞人	4.0	6.25	0.0	1.299
我一定會很難過	2.75	8.0	0.433	0.707
中國平均每六個人就有一個癌症患者	2.667	3.0	0.471	1.633
