Text	Valence_Mean	Arousal_Mean	Valence_SD	Arousal_SD
在荒廢之地找出生	5.5	4.5	2.5	1.5
他這種文風是智商隔離	4.0	4.667	0.816	2.055
一次一次又一次地遺棄	3.0	4.333	0.0	0.471
越來越難衝出來了	4.0	5.667	0.816	0.943
即便明月亦無明亮	4.0	3.0	0.0	1.414
撫育了你終於成青春的臉龐	7.0	5.25	0.707	2.278
但是深切又平淡的	6.5	4.0	0.5	1.414
談判有三大分歧	4.0	3.333	0.816	1.247
這也包括你身邊那些沈默寡言	4.0	5.0	0.0	0.816
你和所有人都是平等的	6.0	5.0	0.0	0.0
使人心支離破碎	3.0	5.25	0.0	1.92
中描述了這些祖先一千年沒跳過舞的女人是如何為共黨迫使教唆而起步的	3.667	5.333	1.247	1.7
聽出她話語的失落	3.6	4.6	0.49	1.855
一定令人熱淚盈眶	6.0	7.667	0.0	0.943
翻了一下電腦意外找到以前去社團表演編了一個口水歌的組曲	6.333	6.0	0.471	0.816
直到晚上回家才看到地震的訊息	4.0	4.667	0.707	0.471
如果你們沃草連手機民調的弊端都看不出來	2.5	6.75	0.5	0.829
返禮祭裡齋宮做的事真的很惹毛我又讓我毛骨悚然	2.667	7.667	0.471	0.471
樂於維持惡化現狀	2.0	6.0	0.0	0.0
賄賂120萬美元入名校	3.0	1.667	0.0	0.471
市長引咎辭個職先吧	3.333	6.0	0.471	0.0
但還是有點點洩漏一聲	4.0	3.5	0.0	1.5
讚揚臺灣是民主典範	7.0	6.0	0.0	0.0
而不是說久押不決合法	3.667	5.333	0.471	2.357
德國機械裝置製造業聯合會外貿事務負責人烏爾裡希	5.0	3.0	0.0	1.633
讓家事糾紛減下去	6.0	6.0	0.0	0.0
當時我震驚了10秒	4.5	7.0	0.5	0.0
一直以來那唯一的的支柱瞬間倒塌了	3.0	6.25	0.0	1.479
靈魂的崇高情感	6.667	3.667	0.471	1.7
懶懶散散又一年	4.0	3.0	0.0	1.581
感覺就是窩著火的樣子	4.0	5.333	0.0	1.247
碎片化修補也不行	3.5	6.0	0.5	1.0
蓄起長鬍子令外表專業整潔的	6.0	4.333	0.0	0.471
可是臺灣人說這種話真的完全沒法不贊成	4.5	6.5	1.5	0.5
盼扺消可能的赤字	5.667	6.0	0.471	0.816
什麼功利至上真是失了智	3.0	6.667	0.0	0.943
裡面的地圖材質摸起來也很耐用	7.0	3.6	0.894	1.744
偶爾會有點小腹黑小壞心眼	4.0	5.667	0.0	0.471
就是產業鏈還沒成熟	3.5	4.667	0.5	0.471
你們是中國最沒良心的混蛋	2.0	8.0	0.0	0.707
在生效最後關頭	4.667	6.0	0.471	2.449
果然是精明的商人	6.667	5.0	0.471	1.633
韓指環評增加業者負擔	4.0	4.2	0.0	2.227
臺灣無法容忍這種和禿頭韓一樣的廢物	2.75	7.25	0.433	0.433
10日接受美國媒體訪談時淡化朝鮮恢復試射行動的意義	4.4	3.75	0.49	0.829
而自己心生怨恨	3.0	5.0	0.0	2.0
覺得中國因此經濟會崩潰的	4.0	4.667	0.816	1.247
雖然感情線很混亂可能大家看著覺得風中凌亂	4.0	2.667	0.0	0.943
妻子姚敏華被非法拘禁	2.25	3.25	0.433	1.785
我跟弟弟很生氣	3.0	7.5	0.0	1.118
可支那的地盤49年以來一直在縮小	3.333	5.333	0.471	1.247
一上山開始下雨令金瓜石行程有點掃興	3.667	4.333	0.471	1.247
鬧雙胞胎的立法會逃犯條例法案委員會召開	4.667	3.667	0.471	0.943
綁架了中國人民	3.0	4.667	0.707	0.471
彭斯副總統一樣有決斷力和執行力的議員	6.5	6.0	0.5	0.816
衣服全白計劃宣佈暫停	4.667	4.667	0.471	1.247
告誡那餘下的將來	4.0	5.5	0.0	2.062
還以為我學生證造假	4.0	5.25	0.0	0.829
傳統文化已經滅絕了	3.0	5.75	0.0	0.433
只是拚命向洞裡鑽去	5.0	6.5	0.0	2.062
但在無形中其實大家都看得出來	5.0	4.667	0.0	0.471
不像信義區統一時代分店全部都有	4.333	5.0	0.471	0.816
蓮舫只會跟工作有關恩人	6.0	3.5	0.0	2.5
是在日本投降前兩三天!	4.0	7.0	0.707	0.0
我本來以為羽風薰是夢之?寶貴的碩果僅存的幾個直男	4.5	3.5	0.5	2.5
不再拿來轟個幾次才是笨蛋	4.0	7.0	0.707	0.0
是展現在它負勢向上高聳入雲的蓬勃生機中	6.4	4.2	0.49	1.47
今天的淚水會使明天的你更加茁壯	7.333	6.0	0.471	0.816
吃了高血壓可就拿不下來了	3.4	5.8	0.49	0.98
跨黨派脫歐妥協談判受挫	3.0	5.25	0.707	0.433
可以照著永恆生命	6.0	4.333	0.0	0.471
這並無益於大量批次編輯	4.0	4.0	0.0	1.0
那些無法嘗試兩次的	5.0	2.0	0.0	1.0
在辦公室裡作為解壓工具被小便澆在精緻妝容的臉上	3.0	7.5	1.0	0.5
其實嘟嘟站起來是不胖的	6.0	2.333	0.0	1.886
碰撞的力道開始加速	5.0	5.5	0.0	0.5
基於華人社會的種種規範	4.0	6.0	0.0	0.0
昨天半夜唐突睡著所以沒有發	4.0	3.5	0.0	1.5
女郎不甘示弱回嗆	3.0	4.667	0.816	0.943
剷除邪教伊斯蘭	2.5	6.75	0.5	1.299
在加上臺灣一面倒向美國	4.0	3.667	0.816	0.471
總覺得有點誇大了	4.0	4.25	0.0	0.829
而放棄生存的意志	3.0	5.667	0.707	0.471
更難堪的就是像馬前症腐的2009	4.0	4.0	0.0	0.0
老子脾氣火的很	3.0	8.25	0.0	0.829
中共流氓政權是聖潔天使	4.6	6.5	2.577	0.5
精疲力竭的絕境	3.0	5.667	1.633	3.399
說來說去只是博同情而已	4.0	5.5	0.0	1.118
日久生情百年難遇	6.0	6.0	0.707	1.0
男子以身體人肉擋車門令列車受阻	4.0	4.6	0.0	1.855
盡情放肆盡情衝刺	6.75	6.4	0.433	1.744
再加上人品爆發	6.0	4.5	0.0	1.118
他回應已一切就緒	6.5	4.5	0.5	0.5
右半邊的的刮痕做得很逼真很有味道	6.0	6.0	0.0	0.816
就是一個嚴重分裂症患者	4.0	5.333	0.0	0.471
和進取的人在一起	7.0	4.5	0.0	0.5
映照出我們壓抑的負面特質	4.0	4.333	0.707	0.471
但餅乾類不得他歡心	4.0	4.5	0.0	0.5
五十度系列是給慾望大膽子小的外行大媽們看的	4.4	4.25	0.49	0.433
當你們當中的感言者被關押酷刑時	3.5	4.0	0.5	1.0
除了極個別選擇原諒她的	4.0	5.333	0.816	0.943
還有一個理由大概是因為他倆遭遇很類似吧	4.0	5.0	1.0	0.0
主宰美麗的是心情	6.6	4.0	0.49	1.414
輸入我的巴貝多心靈	5.0	6.5	1.0	0.5
柴燒側把高雅壺	5.5	4.0	0.5	0.0
我不肯繳納罰金	3.0	5.667	0.816	0.471
教派謬論橫行天下	3.0	5.667	0.0	0.943
的計劃再受挫折	3.0	4.667	0.0	1.247
但是我很有志氣	6.667	6.333	0.471	0.471
其實我只是卑鄙又自私罷了	2.75	6.0	0.433	0.707
工作繳稅讓這種人浪費你們的時間跟金錢	2.6	7.5	0.49	0.866
0後就發各種小散文宛如已奪冠	6.333	3.667	0.471	1.247
也照樣免不了痛苦的侵襲	3.0	6.0	0.0	0.0
不要說這麼可怕的話嘛	4.333	4.75	0.471	1.299
美國人民這麼振奮	6.0	5.5	0.0	1.118
那麼大大多數人還是錯誤的	3.333	4.0	0.471	2.16
老害議員選?睡眠妨害	4.0	4.5	0.0	1.118
而且同步時不夠精確	4.0	3.4	0.894	1.625
還是會默默付出	6.0	3.5	0.0	0.5
真的是讓人很厭惡啊	3.0	5.333	0.0	0.943
無一例外都離婚了	2.667	6.333	0.943	0.471
其間會釋出有害物質	3.75	4.2	0.433	1.47
世界都認為伊朗戰敗了	4.4	3.2	0.49	1.6
為了慶祝花了一個蛋糕錢	5.5	4.5	0.5	0.866
你就該有多少堅強	6.0	6.0	0.0	0.816
報喜不報憂都唔係第一次?事啦	5.5	6.5	1.5	0.5
走向遠方是為了讓生命更輝煌	7.6	5.6	0.49	1.356
並不是因為生活太無趣太無聊	4.4	5.5	0.49	0.5
你今日的不順是因你早期的自負與自私	3.0	6.4	0.0	1.2
那是咱們的幸運	7.0	5.667	0.0	0.471
當然是理世寶貝	7.0	5.667	0.816	1.247
你們國際社會不要逼的太緊給中共內部的改革派開明派多點空間云云	4.5	6.333	1.118	0.943
逢年過節才會碰到	5.5	4.0	0.5	0.0
反悔也只有反悔之人聲望下降的效果而已	3.5	4.333	0.5	0.943
廣華醫院發生棄嬰疑雲	3.5	4.5	0.5	0.5
在所有的人中間頌揚不息	7.0	3.0	0.0	1.0
附十合一專業寵物清理配件組	6.0	4.0	0.0	1.0
發表真理賜給人悔改的道	6.75	3.6	0.433	1.855
中國外交部批評美方此舉是	4.0	3.6	0.0	1.744
之前路過時都人山人海	5.0	4.5	0.0	0.5
驅散貿易戰的陰雲	6.0	4.5	0.0	0.5
你儘可安心與他同行	7.0	4.5	0.0	0.5
但實際上它給你的是日復一日的倦怠	3.4	5.25	0.49	0.829
武吉知馬一帶擁有近40年曆史的老字號陳唱車行展銷室	5.333	3.333	0.471	1.247
消防車有瑕疵沒辦法供應水滅火	3.4	3.0	0.49	0.707
根本意圖使人破戒	3.0	6.5	0.0	1.118
男子的鮮紅雙眼流露出不滿	3.0	6.667	0.0	0.471
以上團體皆已破產	3.0	3.8	0.0	1.939
工作經驗最高10分	5.333	2.333	0.471	1.247
但依舊可以￣h	5.0	1.0	0.0	0.0
據香港南華早報透露	4.667	2.667	0.471	1.7
我是最瘦最敏捷的	7.0	4.6	0.0	2.728
這比言論審查更退步	3.0	5.25	0.0	1.479
我在美國四次被人進行身體上的侵犯	2.333	6.0	0.943	0.816
當然並不是說劉電工發明這個學說而是他自身就是受殖民地考試工廠生產出的考試機器	5.0	4.0	0.0	0.0
粵港澳大灣區城市挑戰賽香港站得獎隊伍出爐	6.0	4.0	1.0	1.0
情緒亦有點燥動	3.5	6.333	0.5	0.943
還不知道這是會讓人很不舒服的嗎	3.333	6.333	0.471	0.471
越是艱險越向前	7.333	6.667	0.471	0.943
也請霖粉們多多互助	7.0	6.0	0.707	0.0
你不用避重就輕啦	3.667	6.333	0.943	0.471
完全不顧形象的跟哭給你們看是嗎	3.333	6.333	0.471	0.943
天天信奉你那個騙神	3.333	7.0	0.471	0.816
放到高三已經是乾燥花了	4.667	4.0	0.471	0.816
只要不是蓄意的反動的言論	4.6	3.0	0.49	1.0
當心習近平的手段	3.4	5.75	0.49	0.829
我們被通知由於中國的一個國家購買了大樓	5.0	1.667	0.0	0.471
英國可口可樂6月推出首創4款酒味可樂	5.5	2.5	0.5	0.5
我又要讚美泰國電影	6.75	5.0	0.829	0.707
與運動神經拔群的模特體型美少女	6.25	5.25	0.433	0.433
土方真的太毀滅	3.6	6.6	0.49	0.49
不給最後的答案難道要盲目跟媒體風向	3.5	7.0	0.5	0.0
就算再心痛也看不透	2.75	6.0	0.433	1.414
所以幾千年都沒擺脫愚昧和被奴役	3.0	6.0	0.0	1.225
純全可喜悅的旨意	7.0	6.333	0.0	1.247
令人厭煩般的找碴又無理取鬧呢	3.0	7.25	0.0	1.09
以及牠的逗趣身影	6.6	4.8	0.49	1.47
久病床前無孝子	2.6	4.4	0.49	2.577
說彭暴露了共畜主力	4.667	2.667	0.471	0.943
五位警花聯手很費力才拿下男子	5.0	7.0	0.0	1.0
上臺拿起麥克風高歌一曲	6.6	4.2	0.49	2.315
企圖將自己從刑事罪犯華麗轉身為	3.667	6.0	0.471	1.0
因為擠牙膏自己壓到手結果流血	4.25	5.75	0.433	0.433
讓臺灣人不用為身分認同道歉	7.0	4.25	0.707	1.785
爹最近沉迷翻牆聽迷之小廣播	4.5	4.5	0.5	0.5
與生俱來的警覺和生存本領	6.0	3.6	0.0	1.855
比如是醫療改革	6.0	4.0	0.0	0.0
一個被冤枉下獄的人	3.0	5.0	0.0	0.707
退出共產黨網址	5.0	4.333	0.816	0.943
也可設定燈光亮度	5.6	3.0	0.49	1.414
不在心平氣和時	4.0	5.667	0.0	1.247
火氣大了不起是不是	2.5	8.0	0.5	0.707
連外表都變得不再討喜	3.0	6.0	0.0	0.707
我們家去參加了表叔女兒的喜宴	6.5	4.0	1.5	1.0
不如說是犯罪的天堂	3.25	5.5	0.829	0.866
讓他未來的歲月全部耗費在司法訴訟中	3.0	6.667	0.816	0.471
怎麼這麼不懂事	3.0	7.0	0.707	0.707
那拜託你選上總統之後	5.25	5.8	0.433	2.135
共匪有何報復美國的能力	4.25	4.5	0.829	1.118
張先生的牲人論有點偏頗	4.0	4.0	0.0	1.673
和煦的陽光透過落地窗灑落	7.0	4.0	0.0	0.0
我能報答的禮物	6.0	3.0	0.0	1.414
我的大腦降級了	3.667	4.333	0.471	0.471
沒什麼不敢撒謊	4.333	5.5	0.471	1.118
行壞事的房仲喬福	3.0	5.5	0.0	0.5
哎呀說的人暢想無限	6.0	5.333	0.816	2.055
但是在公領域人與人難免得互相體諒一下	4.0	4.0	1.0	1.0
平安的柴米油鹽小生活	6.667	2.667	0.471	1.247
跟1930年代經濟大蕭條時代相若	4.667	3.333	0.471	1.7
鬥志還沒有消失	6.5	6.5	0.5	1.5
老袁這期節目裡的那位在美國的狗屎中產階級怎麼那麼缺德阿	2.667	6.0	0.471	2.16
我只是出乎你們意料的中二病青年	3.333	6.667	0.471	1.247
過了整整一天才有進去救援	3.25	4.4	0.433	2.417
然後覺得越到後面越難看的感覺	3.0	5.667	0.0	0.471
練習過量勞損了	2.0	6.0	0.0	0.816
印出來也比較細緻	7.0	4.5	0.0	0.5
讓每一個腳印都堅實而有力量	6.75	4.75	0.433	1.09
可能我做的東西都很多餘	2.667	6.0	0.471	0.707
不因大眾的注目而刻意獻媚	6.5	4.667	0.5	0.471
聖人將一年火侯攢於一箇時辰中	6.0	5.0	0.707	0.707
另一方面也看到在中共統治下中國人民的愚昧無知	3.4	5.2	0.49	1.939
土城四姨丈的手藝	5.0	2.8	0.0	1.6
目的是用來麻痺中國人	3.0	5.75	0.707	0.433
這段時間內我的鬱症會稍微緩和些	6.0	4.5	0.0	0.5
這兩個不相等的懂嗎	3.5	7.0	0.5	0.0
去遇見各種未知	6.5	5.75	0.5	1.09
結果丈母孃跑來干涉	3.6	5.5	0.49	0.5
這麼激烈肉質一定很鮮美	7.0	6.0	0.0	2.0
有時條裙條褲短少少	4.333	3.333	0.471	0.943
然後沈浸在某案又得獎的虛榮感裡繼續過著同樣的生活	3.5	5.0	0.5	0.0
是一種崇高的美德	7.25	5.667	1.299	0.943
創造2018年度國內基因領域最大募資金額	6.5	3.5	0.5	0.5
我真的是用盡各種方法買了無數	5.0	7.0	0.707	0.816
這不就郭臺銘版的功德說	4.0	6.0	0.707	0.0
能早來當然會早來	5.2	6.25	1.47	0.433
這千鈞的重擔壓在你們領導身上	4.667	5.333	0.471	0.471
不肖子孫談不上心理素質	2.667	7.333	0.943	1.7
過了兩分鐘沒辦法撤回了	4.0	5.5	0.0	0.5
聲譽卓著的眾多資深大律師	6.5	5.333	0.5	0.471
多是政治投機犯	3.0	3.333	0.0	0.943
不安分的小舌頭	5.0	5.667	0.0	0.471
上門顧客逐年減少	3.25	4.25	0.433	0.829
我不得不再次談論許章潤教授	4.5	4.5	0.5	3.5
這是營運在引誘我鑽抽的陷井	3.333	5.0	0.471	0.816
有可能會為以色列自己的亡國自掘墳墓	3.0	6.0	0.0	0.707
臺灣要還陳前總統一個清白	6.0	7.0	0.816	0.707
技能和經驗獲得極大值	7.5	6.5	1.5	1.5
美國政府只是像養狗一樣放縱他們撕咬自己曾經的祖國	2.5	6.5	0.5	0.5
每次看到梵谷兄弟相關的文章就很感動	7.0	6.75	0.707	0.829
得到寧靜的力量等等	5.667	2.667	0.471	0.943
她傳統文化的造詣	6.0	5.333	1.0	0.943
再鮮豔明媚的顏色也會隨時間褪去光澤	3.5	2.75	0.5	1.09
財神也經常惠顧	7.0	5.5	0.0	0.5
是不是也夠愜意	6.0	4.25	0.894	0.829
腫瘤細胞轉移到淋巴結	3.0	3.6	0.707	1.744
燕太不像活潑的姐姐那樣	4.0	3.2	0.0	1.833
五四謠傳北洋政府要簽協議	5.0	3.5	0.0	2.5
惟有功名忘不了	4.6	5.25	1.2	1.09
拍賣的錢若有超過	6.0	4.667	0.816	2.625
孫立勇就是獨裁專制的不法之途	3.0	6.0	0.0	0.0
每一樣都美好得不可思議	7.75	7.4	0.433	1.2
無你老豆咁咪無依家?你囉	5.0	5.0	0.0	0.0
只有你這爺們弄到精疲力盡	4.5	6.0	0.5	0.816
上帝會懲罰殘暴的美國暴君	6.75	5.8	0.433	1.6
論述周代的官樣文章和文網嚴密	5.0	3.0	0.0	1.414
時間只能改變那些原本就不夠堅固的東西	4.667	5.333	0.471	1.247
本來清國也能從中獲利	4.333	3.667	0.471	0.943
迷人的臺灣太魯閣風景引遊客參觀	7.5	4.75	0.5	0.829
完全破壞產品的食用期限	3.333	4.667	0.471	0.471
看來這一切我都是自作多情了	3.5	5.8	0.5	1.6
的故事應該不陌生的吧	5.333	5.0	0.471	0.816
你就別錯過我們的個人彩妝課	4.0	4.333	0.816	0.471
可以查到網站所有權已屬於基金會	5.0	2.0	0.0	0.707
藍芽音響衝去市區送回修理	4.667	5.667	0.471	0.471
時期的甜蜜現在的	4.5	4.0	0.5	0.0
因為我就是個徹頭徹尾的爛人	2.0	6.8	0.0	1.6
臺北橋上的機車道	5.0	2.6	0.0	1.625
那種酸葡萄的孬種就別浪費口水了	3.25	7.0	0.433	1.225
顏色卻還蠻協調的	6.667	4.5	0.471	0.5
是種身心舒適狀態	6.6	3.25	0.49	0.829
監禁中國人二千多年了	2.6	4.2	0.49	1.6
金犢獎0512	5.0	1.667	0.0	0.471
都是望子成龍望女成鳳的	6.0	6.0	1.0	1.0
為什麼自己現在可以這麼毅然的捨棄	4.333	4.0	0.471	1.414
那不是超肥胖的嗎	3.5	7.0	0.5	0.894
開放4個開始使用	5.0	2.25	0.0	1.299
私召車司機徒步追逐將近1公里	4.5	6.667	1.118	0.471
讓中共迅速壯大	4.0	4.0	0.707	2.55
人一無所有的時候最清醒	3.667	4.667	1.247	1.7
果然鯊魚還是要近距離看才會覺得震撼	5.25	6.25	0.829	0.829
獲得89萬名考官的認可	6.667	4.667	0.943	0.471
那些加害者和共犯集團的成員及其血緣或精神後裔	4.5	3.0	0.5	1.0
太平天國王親自座鎮支援孫臏和劉伯溫和神國中情局天使們用盡所有方法仍然無法開通	4.0	4.333	0.816	1.247
感恩老師教會我學習獨處	7.0	5.75	0.0	0.829
海浪聲不斷帶給我靈感	6.6	4.25	0.49	0.829
快樂的待在現友同溫層	7.0	6.667	0.816	0.471
而自己也沒有那麼無能	6.0	6.75	0.0	0.433
不然倒楣的還是投資者	4.0	4.5	0.0	0.5
美國人頓時呆了!	5.4	7.75	0.49	0.433
本次集資將用於不運回	5.0	4.0	0.0	0.0
他被逐出議事廳後	3.0	5.75	0.707	1.299
然後大家都慌張成智障	3.5	6.667	0.5	0.471
它還有多少空間可以造謠撒	3.0	5.0	0.0	1.581
養活了多少中國工廠	5.75	3.8	0.433	1.6
還有人學成這樣	3.667	4.333	0.943	2.357
協議要求這些自然人股東在離職或死亡的情況下	4.0	4.0	0.0	0.0
不用再假裝自己在乎我	3.0	7.5	0.0	0.5
逝世日是我的生日	3.667	3.333	0.471	0.471
虐童案引全臺公憤	2.5	7.5	0.5	1.5
應該也影響到了公司的名聲	3.6	6.0	0.49	0.0
合宜的解釋和賠償	6.0	3.667	0.0	0.471
第一次讀紅樓夢時不解為何在講正篇故事前有那麼長一段看似無關的故事	5.0	2.75	0.707	1.299
當精神緊迫到一個程度	4.0	7.333	0.707	1.7
能掀起什麼大風大浪呢	4.667	4.667	0.471	0.471
撒著散漫沉醉的光芒	5.0	4.333	0.816	0.471
現在是你蹂躪他	3.75	7.25	0.829	0.829
假日的臺鐵列車總是擠滿了人	4.5	4.2	0.5	2.315
整天都會滿臉紅光	6.5	4.5	0.5	0.5
被角鬥士靈巧擋下來	5.0	4.5	0.0	0.866
導致政府蒙受14億8000萬令吉	3.0	5.0	0.0	0.0
沒有人能感同身受	3.0	6.0	0.707	0.816
中國網紅文化興盛	6.0	3.5	0.0	1.5
使她們在任何時候都能免於恐懼	6.333	5.333	0.471	0.471
我在嘉興遇到郭大哥和蓉兒	5.0	3.25	0.0	1.92
這幾年這廝一直不遺餘力地詆毀李文足	3.0	6.25	0.0	0.829
我寧可花時間去遊說華腦	4.5	5.25	0.5	1.299
我不在乎那些流言蜚言	6.0	2.667	0.0	1.247
大部分有良知的還是通過不發聲來做到實事求是或者至少不歪曲事實	6.5	5.5	0.5	0.5
郵政傳情歡慶母親節	6.667	3.0	0.471	0.816
姦淫女性樣樣來	3.0	6.0	0.0	0.0
也會來問一句都感到很窩心	7.0	4.667	0.0	1.247
如何履行主權在民的政治方略	5.0	3.0	0.0	1.414
但他知道喜劇演員與丑角是不一樣的嗎	4.75	5.75	0.433	0.829
精選百聽不厭西洋情歌	6.6	6.0	0.49	1.225
雖然是個到處犯錯的白痴	4.667	5.667	1.247	0.943
結果要去喪禮的兩人一個還在睡一個出去了	4.0	4.25	0.0	0.829
人他爸很有錢不然怎麼能買新聞啊	3.333	6.667	0.471	0.943
全部囚犯做宣傳員得了	4.333	6.0	1.247	0.816
回個帖還躲躲藏藏在別人推下	3.5	4.5	0.5	0.5
成了肥沃的土壤	6.333	5.0	0.471	0.0
阿嬤的味道我也很懷念	6.5	7.5	0.5	0.5
最近才因為我隨意地使用弄破兩個馬克杯	3.5	3.0	0.5	0.816
身上透著一股野獸般狂暴的氣息	4.667	5.333	0.471	2.494
第一次來萬國紀念公園	6.0	4.667	0.0	0.943
今天缺席家族聚餐的	4.0	5.0	0.0	0.707
就多少體貼一點吧	5.5	4.5	0.5	0.5
